record_id,year,country,region,income_group,population_million,healthcare_index,pathogen,pathogen_type,gram_status,who_priority,natural_reservoir,setting,specimen_type,isolates_tested,resistant_isolates,susceptible_isolates,resistance_rate,mdr,xdr,pan_resistant,antibiotic_use_ddd,incidence_per_100k,mortality_per_100k,amr_attributable_mortality_per_100k,treatment_options_remaining,economic_burden_per_patient_usd,surveillance_quality_score,one_health_link
AMR0000022,2010,United States,North America,High,335,85,Hepatitis B (nucleoside-R),Virus,N/A,Medium,Human blood/sexual,Hospital-non-ICU,Respiratory,172,22,150,0.1328,0,0,0,25.66,35.75,3.057,0.1513,1,38076,4,0
AMR0000023,2010,United States,North America,High,335,85,Nontuberculous Mycobacteria,Bacteria,AFB,Medium,Water/Soil,Long-term Care,Catheter tip,541,56,485,0.1042,0,1,0,26.31,20.16,1.673,0.0492,4,24629,4,1
AMR0000024,2010,United States,North America,High,335,85,Enterobacter cloacae,Bacteria,Gram-negative,High,Human/Animal gut,Community,Wound/Skin,66,8,58,0.1363,1,0,0,21.83,11.63,2.02,0.0977,5,15936,5,1
AMR0000025,2010,United States,North America,High,335,85,Stenotrophomonas maltophilia,Bacteria,Gram-negative,Medium,Water/Hospitals,Community,Genital,270,33,237,0.1223,0,0,0,17.87,23.72,2.356,0.0906,6,16320,4,0
AMR0000026,2010,Canada,North America,High,38,83,Escherichia coli (ESBL),Bacteria,Gram-negative,Critical,Human/Animal gut,Hospital-ICU,Urine,154,35,119,0.2292,0,0,0,18.09,4.44,0.999,0.0749,2,31777,3,1
AMR0000027,2010,Canada,North America,High,38,83,Klebsiella pneumoniae (CRE),Bacteria,Gram-negative,Critical,Human gut/environment,Long-term Care,Stool/Rectal,1915,386,1529,0.2018,0,0,0,22.68,6.6,2.221,0.1351,7,42774,4,0
AMR0000028,2010,Canada,North America,High,38,83,Acinetobacter baumannii,Bacteria,Gram-negative,Critical,Environment/Hospitals,Hospital-ICU,Catheter tip,638,146,492,0.23,0,0,0,21.52,11.91,4.383,0.2845,3,21526,3,0
AMR0000029,2010,Canada,North America,High,38,83,Pseudomonas aeruginosa,Bacteria,Gram-negative,Critical,Environment/Hospitals,Community,Genital,383,114,269,0.2977,0,0,0,19.18,8.58,3.185,0.2924,6,28264,4,0
AMR0000030,2010,Canada,North America,High,38,83,Enterococcus faecium (VRE),Bacteria,Gram-positive,High,Human gut,Hospital-ICU,Wound/Skin,174,34,140,0.1999,0,0,0,24.51,7.61,1.513,0.0955,7,20869,4,0
AMR0000031,2010,Canada,North America,High,38,83,Staphylococcus aureus (MRSA),Bacteria,Gram-positive,High,Human skin/nose,Community,Sputum,191,34,157,0.1828,0,0,0,24.28,15.77,2.773,0.2035,4,17792,4,0
AMR0000032,2010,Canada,North America,High,38,83,Streptococcus pneumoniae,Bacteria,Gram-positive,High,Human respiratory,Long-term Care,Sputum,73,13,60,0.1785,1,0,0,18.96,10.99,1.562,0.0949,6,45084,4,0
AMR0000033,2010,Canada,North America,High,38,83,Helicobacter pylori,Bacteria,Gram-negative,High,Human stomach,Long-term Care,Bone/Joint,73,11,62,0.1527,0,0,0,19.68,16.97,2.055,0.1199,1,15323,3,0
AMR0000034,2010,Canada,North America,High,38,83,Salmonella spp. (NTS),Bacteria,Gram-negative,High,Animal/Human gut,Community,Bone/Joint,810,125,685,0.1552,0,0,0,21.95,26.86,3.37,0.2057,9,30595,3,1
AMR0000035,2010,Canada,North America,High,38,83,Neisseria gonorrhoeae,Bacteria,Gram-negative,High,Human urogenital,Veterinary,Genital,364,74,290,0.2049,1,0,0,17.92,21.49,3.001,0.1799,5,26627,5,0
AMR0000036,2010,Canada,North America,High,38,83,Mycobacterium tuberculosis,Bacteria,AFB,Critical,Human lung,Hospital-ICU,CSF,993,297,696,0.2999,0,0,0,17.99,8.56,2.007,0.1986,2,41407,3,0
AMR0000037,2010,Canada,North America,High,38,83,Clostridioides difficile,Bacteria,Gram-positive,Medium,Human gut/spores,Hospital-ICU,Wound/Skin,132,13,119,0.0988,0,0,0,23.33,27.94,2.401,0.0836,3,36185,3,0
AMR0000038,2010,Canada,North America,High,38,83,Campylobacter spp.,Bacteria,Gram-negative,High,Animal gut/poultry,Hospital-non-ICU,Wound/Skin,136,23,113,0.1725,1,1,0,16.03,7.81,1.238,0.0626,5,42265,4,1
AMR0000039,2010,Canada,North America,High,38,83,Shigella spp.,Bacteria,Gram-negative,Medium,Human gut,Community,Wound/Skin,311,35,276,0.1149,0,0,0,20.4,50.26,4.311,0.2013,3,9752,2,0
AMR0000040,2010,Canada,North America,High,38,83,Haemophilus influenzae,Bacteria,Gram-negative,Medium,Human respiratory,Veterinary,Stool/Rectal,209,26,183,0.1269,0,0,0,19.33,47.74,3.504,0.1778,4,20007,3,0
AMR0000041,2010,Canada,North America,High,38,83,Candida auris,Fungi,N/A,Critical,Environment/Hospitals,Hospital-non-ICU,Wound/Skin,240,68,172,0.2851,0,0,0,17.61,10.11,2.194,0.2145,3,31142,4,0
AMR0000042,2010,Canada,North America,High,38,83,Aspergillus fumigatus,Fungi,N/A,High,Environment/Soil,Hospital-non-ICU,Stool/Rectal,383,84,299,0.2208,0,0,0,19.42,44.62,8.311,0.7497,2,53600,5,1
AMR0000043,2010,Canada,North America,High,38,83,Plasmodium falciparum,Parasite,N/A,Critical,Anopheles mosquito,Community,Urine,435,96,339,0.2207,0,0,0,17.4,9.1,3.039,0.2066,1,24800,4,0
AMR0000044,2010,Canada,North America,High,38,83,Plasmodium vivax,Parasite,N/A,High,Anopheles mosquito,Community,Urine,867,126,741,0.1458,0,0,0,21.42,13.72,2.586,0.1363,9,65033,3,0
AMR0000045,2010,Canada,North America,High,38,83,HIV-1 (ARV-resistant),Virus,N/A,High,Human blood/sexual,Hospital-non-ICU,Stool/Rectal,611,96,515,0.1583,0,0,0,13.86,10.83,1.467,0.0954,4,43660,4,0
AMR0000046,2010,Canada,North America,High,38,83,Influenza A (Oseltamivir-R),Virus,N/A,Medium,Human/Animal resp.,Hospital-non-ICU,Catheter tip,1545,154,1391,0.1003,0,0,0,23.2,36.8,2.536,0.1067,3,21590,3,0
AMR0000047,2010,Canada,North America,High,38,83,Hepatitis B (nucleoside-R),Virus,N/A,Medium,Human blood/sexual,Hospital-ICU,Catheter tip,390,56,334,0.1452,0,0,0,20.27,40.12,2.44,0.1422,5,44248,4,0
AMR0000048,2010,Canada,North America,High,38,83,Nontuberculous Mycobacteria,Bacteria,AFB,Medium,Water/Soil,Hospital-non-ICU,Blood,58,7,51,0.1235,0,0,0,21.1,33.95,2.607,0.1149,4,19611,4,1
AMR0000049,2010,Canada,North America,High,38,83,Enterobacter cloacae,Bacteria,Gram-negative,High,Human/Animal gut,Community,Catheter tip,361,57,304,0.1583,0,0,0,17.05,15.78,2.183,0.1,4,25267,4,1
AMR0000050,2010,Canada,North America,High,38,83,Stenotrophomonas maltophilia,Bacteria,Gram-negative,Medium,Water/Hospitals,Hospital-non-ICU,Sputum,347,43,304,0.125,0,1,0,23.02,23.23,1.343,0.065,8,47272,5,0
AMR0000051,2010,United Kingdom,Western Europe,High,68,86,Escherichia coli (ESBL),Bacteria,Gram-negative,Critical,Human/Animal gut,Veterinary,CSF,128,35,93,0.2748,0,1,0,23.13,4.53,1.639,0.1679,4,33823,3,1
AMR0000052,2010,United Kingdom,Western Europe,High,68,86,Klebsiella pneumoniae (CRE),Bacteria,Gram-negative,Critical,Human gut/environment,Hospital-ICU,CSF,590,145,445,0.2468,0,0,0,15.09,5.38,1.088,0.0884,5,18018,4,0
AMR0000053,2010,United Kingdom,Western Europe,High,68,86,Acinetobacter baumannii,Bacteria,Gram-negative,Critical,Environment/Hospitals,Hospital-ICU,Wound/Skin,578,174,404,0.3011,0,0,0,17.17,7.26,1.821,0.1784,1,54219,5,0
AMR0000054,2010,United Kingdom,Western Europe,High,68,86,Pseudomonas aeruginosa,Bacteria,Gram-negative,Critical,Environment/Hospitals,Community,Wound/Skin,216,65,151,0.3047,0,0,0,19.54,9.3,2.117,0.1849,3,74985,4,0
AMR0000055,2010,United Kingdom,Western Europe,High,68,86,Enterococcus faecium (VRE),Bacteria,Gram-positive,High,Human gut,Community,Stool/Rectal,64,13,51,0.2135,1,0,0,18.28,11.64,2.295,0.2049,3,15475,4,0
AMR0000056,2010,United Kingdom,Western Europe,High,68,86,Staphylococcus aureus (MRSA),Bacteria,Gram-positive,High,Human skin/nose,Hospital-non-ICU,CSF,425,82,343,0.1948,0,0,0,20.72,19.95,2.719,0.1671,3,26084,4,0
AMR0000057,2010,United Kingdom,Western Europe,High,68,86,Streptococcus pneumoniae,Bacteria,Gram-positive,High,Human respiratory,Hospital-ICU,Respiratory,197,33,164,0.1704,0,0,0,21.02,17.2,3.084,0.1745,7,28330,4,0
AMR0000058,2010,United Kingdom,Western Europe,High,68,86,Helicobacter pylori,Bacteria,Gram-negative,High,Human stomach,Hospital-non-ICU,Catheter tip,257,45,212,0.1787,0,0,0,20.05,12.57,1.453,0.0964,5,18764,4,0
AMR0000059,2010,United Kingdom,Western Europe,High,68,86,Salmonella spp. (NTS),Bacteria,Gram-negative,High,Animal/Human gut,Hospital-ICU,Stool/Rectal,672,121,551,0.1804,0,0,0,17.6,12.19,2.061,0.1226,3,33796,4,1
AMR0000060,2010,United Kingdom,Western Europe,High,68,86,Neisseria gonorrhoeae,Bacteria,Gram-negative,High,Human urogenital,Long-term Care,Genital,638,99,539,0.1555,0,0,0,14.95,9.5,1.841,0.1196,6,37280,4,0
AMR0000061,2010,United Kingdom,Western Europe,High,68,86,Mycobacterium tuberculosis,Bacteria,AFB,Critical,Human lung,Hospital-ICU,Wound/Skin,132,30,102,0.2308,1,1,0,22.45,5.08,1.031,0.0866,2,22482,4,0
AMR0000062,2010,United Kingdom,Western Europe,High,68,86,Clostridioides difficile,Bacteria,Gram-positive,Medium,Human gut/spores,Community,Stool/Rectal,22,2,20,0.1177,0,0,0,21.46,13.85,1.149,0.0463,6,45860,5,0
AMR0000063,2010,United Kingdom,Western Europe,High,68,86,Campylobacter spp.,Bacteria,Gram-negative,High,Animal gut/poultry,Community,CSF,464,100,364,0.2158,0,0,0,15.98,27.72,4.682,0.3695,6,38128,4,1
AMR0000064,2010,United Kingdom,Western Europe,High,68,86,Shigella spp.,Bacteria,Gram-negative,Medium,Human gut,Hospital-non-ICU,Bone/Joint,356,49,307,0.1401,0,0,0,21.9,47.99,3.644,0.1602,5,14676,2,0
AMR0000065,2010,United Kingdom,Western Europe,High,68,86,Haemophilus influenzae,Bacteria,Gram-negative,Medium,Human respiratory,Community,Sputum,88,10,78,0.124,0,0,0,20.21,24.93,1.833,0.0823,5,15818,3,0
AMR0000066,2010,United Kingdom,Western Europe,High,68,86,Candida auris,Fungi,N/A,Critical,Environment/Hospitals,Veterinary,Wound/Skin,146,40,106,0.2773,0,0,0,20.76,13.99,3.565,0.3982,5,19169,4,0
AMR0000067,2010,United Kingdom,Western Europe,High,68,86,Aspergillus fumigatus,Fungi,N/A,High,Environment/Soil,Hospital-ICU,Genital,251,39,212,0.1575,0,0,0,15.64,15.05,2.577,0.1396,3,31485,4,1
AMR0000068,2010,United Kingdom,Western Europe,High,68,86,Plasmodium falciparum,Parasite,N/A,Critical,Anopheles mosquito,Hospital-non-ICU,Respiratory,54,15,39,0.2784,0,0,0,15.77,7.94,2.711,0.2812,3,31444,3,0
AMR0000069,2010,United Kingdom,Western Europe,High,68,86,Plasmodium vivax,Parasite,N/A,High,Anopheles mosquito,Community,Catheter tip,163,27,136,0.1659,1,0,0,16.75,36.46,5.679,0.3162,5,61025,5,0
AMR0000070,2010,United Kingdom,Western Europe,High,68,86,HIV-1 (ARV-resistant),Virus,N/A,High,Human blood/sexual,Community,Stool/Rectal,301,51,250,0.1717,0,0,0,19.84,15.86,2.352,0.1409,3,21418,4,0
AMR0000071,2010,United Kingdom,Western Europe,High,68,86,Influenza A (Oseltamivir-R),Virus,N/A,Medium,Human/Animal resp.,Hospital-ICU,Wound/Skin,82,7,75,0.0922,0,0,0,20.64,18.79,1.199,0.0346,4,19762,5,0
AMR0000072,2010,United Kingdom,Western Europe,High,68,86,Hepatitis B (nucleoside-R),Virus,N/A,Medium,Human blood/sexual,Long-term Care,Catheter tip,77,9,68,0.1213,0,0,0,16.39,34.37,3.362,0.1222,2,24374,4,0
AMR0000073,2010,United Kingdom,Western Europe,High,68,86,Nontuberculous Mycobacteria,Bacteria,AFB,Medium,Water/Soil,Hospital-non-ICU,Bone/Joint,479,47,432,0.0996,1,0,0,15.66,24.46,1.52,0.0491,3,16332,4,1
AMR0000074,2010,United Kingdom,Western Europe,High,68,86,Enterobacter cloacae,Bacteria,Gram-negative,High,Human/Animal gut,Community,Urine,271,43,228,0.159,1,0,0,19.85,15.3,3.022,0.147,5,44192,3,1
AMR0000075,2010,United Kingdom,Western Europe,High,68,86,Stenotrophomonas maltophilia,Bacteria,Gram-negative,Medium,Water/Hospitals,Community,Sputum,452,41,411,0.0911,0,0,0,13.7,23.02,1.417,0.0483,3,10945,4,0
AMR0000076,2010,Germany,Western Europe,High,84,84,Escherichia coli (ESBL),Bacteria,Gram-negative,Critical,Human/Animal gut,Hospital-ICU,Genital,81,23,58,0.293,0,0,0,15.34,6.57,2.057,0.2436,7,33457,2,1
AMR0000077,2010,Germany,Western Europe,High,84,84,Klebsiella pneumoniae (CRE),Bacteria,Gram-negative,Critical,Human gut/environment,Community,Urine,229,63,166,0.2771,0,0,0,14.04,18.79,6.923,0.6608,3,34571,3,0
AMR0000078,2010,Germany,Western Europe,High,84,84,Acinetobacter baumannii,Bacteria,Gram-negative,Critical,Environment/Hospitals,Veterinary,Respiratory,47,11,36,0.2525,1,0,0,16.84,4.77,1.045,0.0796,5,63684,3,0
AMR0000079,2010,Germany,Western Europe,High,84,84,Pseudomonas aeruginosa,Bacteria,Gram-negative,Critical,Environment/Hospitals,Long-term Care,CSF,315,83,232,0.2645,0,1,0,15.4,13.12,3.833,0.3544,5,33463,4,0
AMR0000080,2010,Germany,Western Europe,High,84,84,Enterococcus faecium (VRE),Bacteria,Gram-positive,High,Human gut,Community,Respiratory,257,45,212,0.1769,0,0,0,17.59,13.74,2.239,0.1473,2,20247,4,0
AMR0000081,2010,Germany,Western Europe,High,84,84,Staphylococcus aureus (MRSA),Bacteria,Gram-positive,High,Human skin/nose,Community,Respiratory,1337,248,1089,0.186,0,0,0,17.89,17.42,3.214,0.2403,9,44037,3,0
AMR0000082,2010,Germany,Western Europe,High,84,84,Streptococcus pneumoniae,Bacteria,Gram-positive,High,Human respiratory,Hospital-ICU,Bone/Joint,421,89,332,0.2117,0,0,0,16.25,10.18,1.502,0.1095,2,32067,5,0
AMR0000083,2010,Germany,Western Europe,High,84,84,Helicobacter pylori,Bacteria,Gram-negative,High,Human stomach,Hospital-non-ICU,Urine,208,38,170,0.1832,0,0,0,10.86,21.12,3.29,0.2414,6,50138,3,0
AMR0000084,2010,Germany,Western Europe,High,84,84,Salmonella spp. (NTS),Bacteria,Gram-negative,High,Animal/Human gut,Hospital-ICU,Urine,135,25,110,0.1878,0,0,0,13.48,16.85,1.948,0.1306,4,38869,5,1
AMR0000085,2010,Germany,Western Europe,High,84,84,Neisseria gonorrhoeae,Bacteria,Gram-negative,High,Human urogenital,Veterinary,Urine,401,80,321,0.2016,1,1,0,14.7,12.12,1.806,0.152,1,39296,4,0
AMR0000086,2010,Germany,Western Europe,High,84,84,Mycobacterium tuberculosis,Bacteria,AFB,Critical,Human lung,Community,Urine,202,45,157,0.2241,1,0,0,18.03,10.73,3.069,0.2159,1,23251,4,0
AMR0000087,2010,Germany,Western Europe,High,84,84,Clostridioides difficile,Bacteria,Gram-positive,Medium,Human gut/spores,Community,Respiratory,191,20,171,0.1059,0,0,0,10.26,13.91,1.024,0.0379,3,26148,4,0
AMR0000088,2010,Germany,Western Europe,High,84,84,Campylobacter spp.,Bacteria,Gram-negative,High,Animal gut/poultry,Community,Urine,408,90,318,0.2224,0,0,0,14.25,11.92,2.279,0.1979,5,40263,4,1
AMR0000089,2010,Germany,Western Europe,High,84,84,Shigella spp.,Bacteria,Gram-negative,Medium,Human gut,Community,Bone/Joint,328,32,296,0.1,0,0,0,13.35,32.21,2.778,0.1112,3,32665,2,0
AMR0000090,2010,Germany,Western Europe,High,84,84,Haemophilus influenzae,Bacteria,Gram-negative,Medium,Human respiratory,Veterinary,Wound/Skin,112,12,100,0.1146,1,1,0,13.41,46.44,2.733,0.1009,3,11073,5,0
AMR0000091,2010,Germany,Western Europe,High,84,84,Candida auris,Fungi,N/A,Critical,Environment/Hospitals,Hospital-non-ICU,Blood,314,86,228,0.2747,1,0,0,13.52,4.4,1.51,0.1364,4,22073,4,0
AMR0000092,2010,Germany,Western Europe,High,84,84,Aspergillus fumigatus,Fungi,N/A,High,Environment/Soil,Hospital-non-ICU,Wound/Skin,392,56,336,0.1449,0,0,0,15.27,13.89,2.035,0.0993,6,99613,3,1
AMR0000093,2010,Germany,Western Europe,High,84,84,Plasmodium falciparum,Parasite,N/A,Critical,Anopheles mosquito,Veterinary,Bone/Joint,352,80,272,0.2283,0,0,0,11.43,12.44,4.513,0.3974,4,58514,4,0
AMR0000094,2010,Germany,Western Europe,High,84,84,Plasmodium vivax,Parasite,N/A,High,Anopheles mosquito,Community,Respiratory,315,68,247,0.2165,0,0,0,14.4,19.02,2.554,0.21,1,15630,2,0
AMR0000095,2010,Germany,Western Europe,High,84,84,HIV-1 (ARV-resistant),Virus,N/A,High,Human blood/sexual,Hospital-non-ICU,Sputum,518,84,434,0.1623,1,0,0,10.81,26.92,3.713,0.1748,3,23580,4,0
AMR0000096,2010,Germany,Western Europe,High,84,84,Influenza A (Oseltamivir-R),Virus,N/A,Medium,Human/Animal resp.,Hospital-non-ICU,Stool/Rectal,767,77,690,0.1007,0,0,0,12.23,18.53,1.654,0.0467,5,15983,5,0
AMR0000097,2010,Germany,Western Europe,High,84,84,Hepatitis B (nucleoside-R),Virus,N/A,Medium,Human blood/sexual,Veterinary,Respiratory,249,22,227,0.0909,0,0,0,10.6,36.84,3.717,0.0986,5,61304,5,0
AMR0000098,2010,Germany,Western Europe,High,84,84,Nontuberculous Mycobacteria,Bacteria,AFB,Medium,Water/Soil,Community,Sputum,196,19,177,0.1019,0,0,0,17.79,41.55,2.366,0.0975,4,47589,4,1
AMR0000099,2010,Germany,Western Europe,High,84,84,Enterobacter cloacae,Bacteria,Gram-negative,High,Human/Animal gut,Veterinary,CSF,400,73,327,0.1845,0,0,0,16.01,15.79,2.11,0.1236,4,33187,4,1
AMR0000100,2010,Germany,Western Europe,High,84,84,Stenotrophomonas maltophilia,Bacteria,Gram-negative,Medium,Water/Hospitals,Veterinary,Blood,256,26,230,0.1054,0,0,0,15.58,36.45,2.289,0.092,4,19552,4,0
AMR0000101,2010,France,Western Europe,High,68,85,Escherichia coli (ESBL),Bacteria,Gram-negative,Critical,Human/Animal gut,Hospital-non-ICU,Stool/Rectal,143,39,104,0.2743,0,1,0,23.91,10.97,4.012,0.3308,5,35618,4,1
AMR0000102,2010,France,Western Europe,High,68,85,Klebsiella pneumoniae (CRE),Bacteria,Gram-negative,Critical,Human gut/environment,Hospital-ICU,Stool/Rectal,662,166,496,0.2509,0,0,0,21.9,3.92,1.203,0.1196,3,37430,5,0
AMR0000103,2010,France,Western Europe,High,68,85,Acinetobacter baumannii,Bacteria,Gram-negative,Critical,Environment/Hospitals,Long-term Care,Stool/Rectal,46,8,38,0.1934,1,1,0,26.49,7.33,1.77,0.1256,12,31611,3,0
AMR0000104,2010,France,Western Europe,High,68,85,Pseudomonas aeruginosa,Bacteria,Gram-negative,Critical,Environment/Hospitals,Hospital-ICU,Stool/Rectal,209,42,167,0.204,0,0,0,31.37,2.96,0.765,0.0593,7,12629,4,0
AMR0000105,2010,France,Western Europe,High,68,85,Enterococcus faecium (VRE),Bacteria,Gram-positive,High,Human gut,Hospital-ICU,Genital,157,23,134,0.1489,0,0,0,22.78,12.74,1.617,0.0791,3,17661,3,0
AMR0000106,2010,France,Western Europe,High,68,85,Staphylococcus aureus (MRSA),Bacteria,Gram-positive,High,Human skin/nose,Hospital-ICU,CSF,87,14,73,0.1662,1,0,0,31.24,15.8,1.899,0.1096,7,12544,4,0
AMR0000107,2010,France,Western Europe,High,68,85,Streptococcus pneumoniae,Bacteria,Gram-positive,High,Human respiratory,Hospital-non-ICU,Respiratory,79,17,62,0.2232,1,0,0,33.48,11.33,2.231,0.2028,3,65104,4,0
AMR0000108,2010,France,Western Europe,High,68,85,Helicobacter pylori,Bacteria,Gram-negative,High,Human stomach,Hospital-non-ICU,Genital,1077,171,906,0.1593,0,0,0,23.32,23.13,3.176,0.1977,2,62327,5,0
AMR0000109,2010,France,Western Europe,High,68,85,Salmonella spp. (NTS),Bacteria,Gram-negative,High,Animal/Human gut,Hospital-non-ICU,Blood,187,32,155,0.1727,0,0,0,26.83,9.04,1.807,0.0971,5,120460,3,1
AMR0000110,2010,France,Western Europe,High,68,85,Neisseria gonorrhoeae,Bacteria,Gram-negative,High,Human urogenital,Community,Wound/Skin,429,81,348,0.1911,0,0,0,20.51,23.48,4.316,0.2495,5,29238,2,0
AMR0000111,2010,France,Western Europe,High,68,85,Mycobacterium tuberculosis,Bacteria,AFB,Critical,Human lung,Veterinary,CSF,87,23,64,0.2752,0,0,0,23.59,5.66,1.62,0.1352,6,22707,5,0
AMR0000112,2010,France,Western Europe,High,68,85,Clostridioides difficile,Bacteria,Gram-positive,Medium,Human gut/spores,Hospital-ICU,Catheter tip,78,8,70,0.112,0,0,0,23.57,10.33,1.032,0.0449,3,43004,3,0
AMR0000113,2010,France,Western Europe,High,68,85,Campylobacter spp.,Bacteria,Gram-negative,High,Animal gut/poultry,Community,Blood,151,23,128,0.1577,1,1,0,25.59,30.92,3.713,0.2283,2,15597,3,1
AMR0000114,2010,France,Western Europe,High,68,85,Shigella spp.,Bacteria,Gram-negative,Medium,Human gut,Community,CSF,230,31,199,0.1356,0,0,0,32.84,26.11,2.333,0.1258,9,42626,4,0
AMR0000115,2010,France,Western Europe,High,68,85,Haemophilus influenzae,Bacteria,Gram-negative,Medium,Human respiratory,Hospital-non-ICU,Blood,316,31,285,0.1003,1,0,0,33.74,16.09,0.899,0.0373,3,45023,3,0
AMR0000116,2010,France,Western Europe,High,68,85,Candida auris,Fungi,N/A,Critical,Environment/Hospitals,Hospital-non-ICU,CSF,86,23,63,0.2715,0,0,0,23.96,9.79,2.044,0.2251,5,41874,3,0
AMR0000117,2010,France,Western Europe,High,68,85,Aspergillus fumigatus,Fungi,N/A,High,Environment/Soil,Community,Stool/Rectal,242,33,209,0.1379,0,0,0,28.7,27.57,3.743,0.1533,5,27513,4,1
