mission_id,launch_date,year,decade,country,rocket_name,rocket_operator,rocket_height_m,rocket_payload_leo_kg,rocket_reusable,rocket_status,launch_site,launch_site_country,launch_site_lat,launch_site_lon,mission_type,orbit_type,destination,payload_mass_kg,num_payloads,launch_mass_tonnes,apoapsis_km,periapsis_km,inclination_deg,outcome,mission_duration_days,crew_size,booster_recovered,estimated_cost_million_usd
M000027,1960-08-16,1960,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Technology Demo,LEO,LEO,1188,1,48.4,446.0,391.0,44.9,Success,,0,0,70.6
M000028,1960-07-06,1960,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,3879,2,129.2,407.0,205.0,44.9,Partial Failure,,0,0,128.8
M000029,1960-10-19,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Moon Surface,11406,1,397.9,,,66.7,Success,30.0,3,0,62.6
M000030,1960-12-19,1960,1960s,United States,Titan II,USAF,31,3175,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Weather/Meteorology,GEO,GEO,1818,1,82.4,35786.0,35782.0,0.0,Launch Failure,,0,0,192.3
M000031,1960-07-16,1960,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Technology Demo,LEO,LEO,2146,1,81.5,402.0,265.0,90.7,Success,,0,0,151.8
M000032,1960-04-19,1960,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,4489,1,179.8,452.0,391.0,76.6,Mission Failure,,0,0,167.1
M000033,1960-11-26,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Lunar Orbit,500,1,25.3,,,3.1,Success,3.0,5,0,170.4
M000034,1960-12-21,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,2385,1,61.7,580.0,506.0,86.9,Success,,0,0,119.0
M000035,1960-06-12,1960,1960s,United States,New Glenn,Blue Origin,98,45000,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Military/Reconnaissance,LEO,LEO,1983,1,77.7,377.0,361.0,75.5,Success,,0,0,92.1
M000036,1960-01-17,1960,1960s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Technology Demo,LEO,LEO,1574,1,65.4,585.0,571.0,48.5,Success,,0,0,142.7
M000037,1960-02-20,1960,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,ISS Docking,ISS,5865,1,190.4,477.0,325.0,51.6,Success,7.0,3,0,161.8
M000038,1960-01-08,1960,1960s,United States,Starship,SpaceX,120,150000,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,L2 Halo,2156,1,125.6,638.0,288.0,28.5,Success,,0,0,96.7
M000039,1960-05-08,1960,1960s,United States,Saturn V,NASA,111,140000,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Human Spaceflight,Lunar Transfer,Moon Surface,9855,1,429.6,,,45.8,Mission Failure,90.0,3,0,185.0
M000040,1960-10-06,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,1352,1,80.4,440.0,255.0,35.2,Success,,0,0,59.6
M000041,1961-07-03,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,8466,1,344.2,621.0,269.0,31.5,Success,30.0,6,0,60.1
M000042,1961-09-23,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Communications/Telecom,GEO,GEO,2147,1,111.1,35786.0,35735.0,0.0,Success,,0,0,334.4
M000043,1961-02-14,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,HEO,4375,1,205.5,611.0,302.0,36.1,Success,,0,0,268.6
M000044,1961-08-16,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,271,1,15.4,648.0,640.0,97.7,Success,,0,0,132.1
M000045,1961-10-08,1961,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,SSO,SSO,2228,1,64.7,600.0,594.0,98.0,Success,,0,0,69.4
M000046,1961-08-27,1961,1960s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-40,USA,28.56,-80.58,Science/Astronomy,LEO,HEO,4408,1,202.3,428.0,427.0,72.1,Success,,0,0,185.0
M000047,1961-03-12,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,L2 Halo,5497,1,209.9,566.0,373.0,91.1,Success,,0,0,170.2
M000048,1961-08-22,1961,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,7080,1,282.5,35786.0,35779.0,0.0,Success,,0,0,141.3
M000049,1961-08-08,1961,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,HEO,1312,1,47.7,416.0,349.0,50.3,Success,,0,0,186.2
M000050,1961-02-21,1961,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Technology Demo,LEO,LEO,2630,1,116.0,452.0,442.0,52.1,Launch Failure,,0,0,139.8
M000051,1961-01-14,1961,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,HEO,4024,1,218.7,411.0,301.0,87.2,Partial Failure,,0,0,174.9
M000052,1961-12-05,1961,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,589,1,34.7,389.0,298.0,68.6,Success,,0,0,123.4
M000053,1961-07-27,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Human Spaceflight,LEO,LEO,7036,1,265.1,534.0,425.0,50.3,Partial Failure,90.0,7,0,166.6
M000054,1961-10-27,1961,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,403,1,17.4,618.0,283.0,58.6,Success,,0,0,168.1
M000055,1961-10-29,1961,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Science/Astronomy,LEO,HEO,1626,1,46.5,549.0,539.0,49.8,Success,,0,0,248.2
M000056,1961-03-05,1961,1960s,United States,New Glenn,Blue Origin,98,45000,1,Active,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,LEO,LEO,538,1,17.4,557.0,340.0,54.0,Launch Failure,,0,0,187.2
M000057,1962-08-07,1962,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,412,1,23.7,35786.0,35799.0,0.0,Success,,0,0,187.0
M000058,1962-02-26,1962,1960s,United States,Titan II,USAF,31,3175,0,Retired,Rocket Lab LC-2,USA,37.85,-75.49,Human Spaceflight,Lunar Transfer,Lunar Orbit,3175,1,151.5,,,5.3,Success,30.0,3,0,162.8
M000059,1962-09-10,1962,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,1214,1,62.6,35786.0,35700.0,0.0,Launch Failure,,0,0,127.9
M000060,1962-12-11,1962,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Human Spaceflight,Lunar Transfer,Lunar Orbit,10022,1,554.4,,,34.2,Success,30.0,3,0,164.9
M000061,1962-11-01,1962,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,647,1,32.2,642.0,478.0,93.4,Partial Failure,,0,0,177.5
M000062,1962-12-20,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,GEO,GEO,500,1,16.5,35786.0,35774.0,0.0,Success,,0,0,133.0
M000063,1962-11-16,1962,1960s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Human Spaceflight,LEO,LEO,6100,1,234.3,627.0,558.0,87.7,Success,30.0,1,0,178.2
M000064,1962-04-19,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,GEO,GEO,500,1,12.6,35786.0,35699.0,0.0,Mission Failure,,0,0,142.9
M000065,1962-10-21,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,Earth Orbit,500,1,15.1,486.0,313.0,54.4,Success,,0,0,57.6
M000066,1962-08-01,1962,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Military/Reconnaissance,LEO,LEO,5650,1,217.3,452.0,421.0,43.4,Success,,0,0,148.2
M000067,1962-07-15,1962,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Human Spaceflight,ISS Docking,ISS,8065,1,330.3,520.0,495.0,51.9,Partial Failure,90.0,3,0,121.7
M000068,1962-10-07,1962,1960s,United States,Delta II,Boeing/ULA,39,6100,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Communications/Telecom,GEO,GEO,1821,1,55.2,35786.0,35647.0,0.0,Success,,0,0,112.3
M000069,1962-11-20,1962,1960s,United States,Titan IV,USAF,62,21680,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Human Spaceflight,Lunar Transfer,Lunar Orbit,7642,1,218.2,,,6.9,Success,180.0,4,0,130.4
M000070,1962-12-07,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,500,2,15.6,35786.0,35679.0,0.0,Launch Failure,,0,0,92.7
M000071,1962-01-16,1962,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,LEO,2195,1,57.7,411.0,250.0,32.9,Success,,0,0,158.2
M000072,1962-05-09,1962,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,500,1,20.6,506.0,391.0,77.6,Launch Failure,,0,0,104.6
M000073,1962-08-09,1962,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Weather/Meteorology,SSO,SSO,766,1,32.7,542.0,535.0,98.2,Success,,0,0,158.3
M000074,1962-03-19,1962,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,L2 Halo,2267,1,133.3,642.0,282.0,76.7,Success,,0,0,136.2
M000075,1963-03-05,1963,1960s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Rocket Lab LC-2,USA,37.85,-75.49,Human Spaceflight,Lunar Transfer,Lunar Orbit,6992,1,275.8,,,82.2,Launch Failure,14.0,1,0,109.7
M000076,1963-07-06,1963,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,1056,1,59.2,515.0,253.0,84.6,Success,,0,0,118.3
M000077,1963-03-29,1963,1960s,United States,Saturn V,NASA,111,140000,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Human Spaceflight,ISS Docking,ISS,9864,1,573.8,617.0,261.0,51.8,Success,90.0,2,0,185.0
M000078,1963-03-24,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,5653,1,199.7,477.0,267.0,39.5,Launch Failure,,0,0,167.3
M000079,1963-10-10,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,GEO,GEO,4730,2,208.7,35786.0,35705.0,0.0,Mission Failure,,0,0,140.7
M000080,1963-01-10,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Weather/Meteorology,LEO,LEO,1787,1,87.5,394.0,338.0,29.9,Success,,0,0,103.2
M000081,1963-04-11,1963,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Kennedy Space Center LC-39B,USA,28.62,-80.62,Military/Reconnaissance,SSO,SSO,1912,1,54.9,787.0,762.0,98.2,Mission Failure,,0,0,71.7
M000082,1963-03-30,1963,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,HEO,1703,1,90.8,444.0,297.0,64.2,Partial Failure,,0,0,132.5
M000083,1963-02-08,1963,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,900,1,46.3,498.0,456.0,67.1,Launch Failure,,0,0,192.9
M000084,1963-12-12,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,2462,3,118.0,603.0,601.0,98.5,Success,,0,0,65.4
M000085,1963-01-09,1963,1960s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,L2 Halo,846,1,33.0,624.0,448.0,86.0,Success,,0,0,346.6
M000086,1963-10-09,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Weather/Meteorology,SSO,SSO,500,1,20.1,533.0,518.0,97.5,Partial Failure,,0,0,176.7
M000087,1963-10-21,1963,1960s,United States,Falcon Heavy,SpaceX,70,63800,1,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Military/Reconnaissance,SSO,SSO,940,1,50.2,461.0,442.0,97.6,Launch Failure,,0,0,116.2
M000088,1963-05-25,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,SSO,SSO,1797,1,51.3,506.0,488.0,98.7,Success,,0,0,53.9
M000089,1963-02-03,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,LEO,500,1,15.9,648.0,449.0,29.5,Success,,0,0,97.4
M000090,1963-12-22,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,1344,1,67.1,412.0,208.0,85.9,Success,,0,0,56.7
M000091,1963-01-31,1963,1960s,United States,Falcon 9,SpaceX,70,22800,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,GEO,GEO,823,1,32.7,35786.0,35787.0,0.0,Mission Failure,,0,0,65.8
M000092,1963-04-21,1963,1960s,United States,Titan II,USAF,31,3175,0,Retired,Cape Canaveral LC-41,USA,28.58,-80.58,Human Spaceflight,Lunar Transfer,Moon Surface,3175,1,151.8,,,74.6,Success,365.0,3,0,106.2
M000093,1963-11-24,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,7080,1,180.6,408.0,390.0,51.8,Mission Failure,180.0,4,0,173.6
M000094,1963-10-15,1963,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,4730,1,127.7,563.0,398.0,39.8,Success,14.0,6,0,185.8
M000095,1963-03-25,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,3,23.5,435.0,216.0,30.6,Success,,0,0,68.0
M000096,1963-10-03,1963,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,LEO,LEO,6488,1,248.3,563.0,201.0,90.3,Success,90.0,3,0,159.7
M000097,1963-02-10,1963,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,28.2,483.0,454.0,99.0,Success,,0,0,126.4
M000098,1963-04-23,1963,1960s,United States,Atlas V,ULA,59,18850,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Weather/Meteorology,GEO,GEO,1769,1,55.9,35786.0,35615.0,0.0,Success,,0,0,285.4
M000099,1964-01-09,1964,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,LEO,LEO,3723,1,183.7,382.0,355.0,40.2,Success,,0,0,158.9
M000100,1964-01-18,1964,1960s,United States,Space Shuttle,NASA,56,27500,1,Retired,SpaceX Starbase,USA,25.99,-97.16,Military/Reconnaissance,GEO,GEO,410,1,12.5,35786.0,35775.0,0.0,Success,,0,0,158.7
M000101,1964-12-17,1964,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,500,1,16.9,394.0,332.0,51.3,Success,180.0,7,0,88.5
M000102,1964-04-05,1964,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,L2 Halo,2442,1,134.7,462.0,354.0,64.6,Success,,0,0,126.1
M000103,1964-06-11,1964,1960s,United States,Titan IV,USAF,62,21680,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Human Spaceflight,ISS Docking,ISS,7017,1,176.4,355.0,212.0,51.6,Launch Failure,7.0,1,0,170.7
M000104,1964-02-16,1964,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-39A,USA,28.61,-80.6,Military/Reconnaissance,SSO,SSO,1803,1,73.2,747.0,737.0,98.9,Launch Failure,,0,0,133.5
M000105,1964-05-03,1964,1960s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Science/Astronomy,LEO,L2 Halo,589,1,18.2,449.0,252.0,51.4,Success,,0,0,247.0
M000106,1964-06-03,1964,1960s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,1334,1,53.4,555.0,203.0,36.2,Mission Failure,,0,0,111.5
M000107,1964-03-21,1964,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,3311,1,149.5,583.0,518.0,85.8,Launch Failure,,0,0,160.7
