rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption
48,China,East Asia,5.973,1.621,1.361,0.871,0.531,0.141,0.241
49,Russia,Commonwealth of Independent States,5.921,1.571,1.321,0.761,0.421,0.091,0.151
50,Malaysia,Southeast Asia,5.911,1.641,1.341,0.841,0.571,0.181,0.221
51,Thailand,Southeast Asia,5.891,1.491,1.321,0.821,0.561,0.271,0.191
52,Belarus,Commonwealth of Independent States,5.871,1.481,1.311,0.811,0.411,0.081,0.141
53,Colombia,Latin America and Caribbean,5.851,1.291,1.301,0.811,0.511,0.141,0.151
54,Kazakhstan,Commonwealth of Independent States,5.831,1.531,1.291,0.761,0.481,0.131,0.181
55,Ecuador,Latin America and Caribbean,5.811,1.221,1.281,0.811,0.491,0.121,0.141
56,Panama,Latin America and Caribbean,5.791,1.411,1.291,0.851,0.511,0.131,0.151
57,Paraguay,Latin America and Caribbean,5.771,1.171,1.301,0.821,0.531,0.181,0.141
58,Peru,Latin America and Caribbean,5.751,1.241,1.271,0.821,0.481,0.121,0.121
59,Bolivia,Latin America and Caribbean,5.731,1.071,1.261,0.781,0.471,0.131,0.111
60,Nicaragua,Latin America and Caribbean,5.711,1.011,1.281,0.801,0.441,0.121,0.101
61,Vietnam,Southeast Asia,5.691,1.271,1.271,0.821,0.561,0.141,0.191
62,Philippines,Southeast Asia,5.671,1.121,1.261,0.791,0.541,0.181,0.151
63,Indonesia,Southeast Asia,5.651,1.241,1.251,0.791,0.551,0.191,0.161
64,Honduras,Latin America and Caribbean,5.631,0.981,1.241,0.791,0.461,0.121,0.101
65,Mongolia,East Asia,5.611,1.271,1.261,0.761,0.491,0.231,0.141
66,Kyrgyzstan,Commonwealth of Independent States,5.591,0.871,1.251,0.741,0.481,0.151,0.101
67,Tajikistan,Commonwealth of Independent States,5.571,0.751,1.241,0.731,0.491,0.161,0.121
68,Morocco,Middle East and North Africa,5.551,1.121,1.201,0.771,0.481,0.081,0.151
69,India,South Asia,5.531,1.041,1.191,0.771,0.541,0.191,0.181
70,Nepal,South Asia,5.511,0.751,1.221,0.751,0.531,0.281,0.111
71,Pakistan,South Asia,5.491,0.921,1.181,0.731,0.481,0.171,0.111
72,Bangladesh,South Asia,5.471,0.901,1.171,0.751,0.521,0.181,0.111
73,Sri Lanka,South Asia,5.451,1.041,1.201,0.821,0.501,0.171,0.121
74,Myanmar,Southeast Asia,5.431,0.801,1.181,0.741,0.431,0.221,0.101
75,Cambodia,Southeast Asia,5.411,0.851,1.171,0.741,0.541,0.301,0.121
76,Laos,Southeast Asia,5.391,0.921,1.161,0.741,0.531,0.251,0.111
77,Kenya,Sub-Saharan Africa,5.371,0.761,1.141,0.691,0.521,0.221,0.131
78,Ghana,Sub-Saharan Africa,5.351,0.881,1.131,0.691,0.511,0.201,0.121
79,Nigeria,Sub-Saharan Africa,5.331,0.781,1.121,0.651,0.491,0.181,0.101
80,Ivory Coast,Sub-Saharan Africa,5.311,0.851,1.111,0.631,0.481,0.171,0.111
81,Senegal,Sub-Saharan Africa,5.291,0.761,1.101,0.651,0.491,0.201,0.111
82,Uganda,Sub-Saharan Africa,5.271,0.651,1.091,0.601,0.481,0.241,0.101
83,Algeria,Middle East and North Africa,5.251,1.171,1.171,0.811,0.411,0.081,0.121
84,Jordan,Middle East and North Africa,5.231,1.071,1.151,0.811,0.451,0.091,0.141
85,Turkey,Middle East and North Africa,5.211,1.461,1.231,0.891,0.401,0.071,0.161
86,Egypt,Middle East and North Africa,5.191,1.011,1.161,0.801,0.421,0.081,0.121
87,Mauritius,Sub-Saharan Africa,5.171,1.321,1.201,0.851,0.531,0.141,0.261
88,South Africa,Sub-Saharan Africa,5.151,1.161,1.151,0.701,0.441,0.131,0.141
89,Tunisia,Middle East and North Africa,5.131,1.011,1.141,0.811,0.411,0.071,0.121
90,Libya,Middle East and North Africa,5.111,1.121,1.161,0.791,0.381,0.061,0.091
91,Iraq,Middle East and North Africa,5.091,1.121,1.171,0.791,0.381,0.071,0.081
92,Palestinian Territories,Middle East and North Africa,5.071,0.791,1.121,0.741,0.371,0.081,0.071
93,Lebanon,Middle East and North Africa,3.701,0.681,0.941,0.791,0.271,0.091,0.051
94,Mozambique,Sub-Saharan Africa,4.971,0.371,0.961,0.501,0.441,0.211,0.081
95,Mali,Sub-Saharan Africa,4.951,0.471,0.951,0.471,0.431,0.191,0.071
96,Burkina Faso,Sub-Saharan Africa,4.931,0.391,0.941,0.451,0.421,0.181,0.061
97,Zambia,Sub-Saharan Africa,4.911,0.551,0.961,0.521,0.451,0.201,0.071
98,Malawi,Sub-Saharan Africa,4.891,0.291,0.951,0.481,0.441,0.261,0.061
99,Chad,Sub-Saharan Africa,4.151,0.381,0.821,0.371,0.331,0.171,0.051
100,Ethiopia,Sub-Saharan Africa,4.131,0.491,0.891,0.511,0.391,0.221,0.061
101,Niger,Sub-Saharan Africa,4.111,0.251,0.811,0.371,0.371,0.181,0.051
102,Madagascar,Sub-Saharan Africa,4.091,0.311,0.841,0.491,0.381,0.211,0.051
103,Guinea,Sub-Saharan Africa,4.071,0.431,0.831,0.451,0.361,0.171,0.041
104,Liberia,Sub-Saharan Africa,4.051,0.291,0.841,0.441,0.391,0.221,0.051
105,Togo,Sub-Saharan Africa,4.031,0.391,0.821,0.451,0.371,0.181,0.041
106,Comoros,Sub-Saharan Africa,4.011,0.411,0.831,0.551,0.381,0.191,0.041
107,Benin,Sub-Saharan Africa,3.991,0.471,0.841,0.491,0.391,0.201,0.051
108,Gabon,Sub-Saharan Africa,3.971,1.151,0.921,0.621,0.371,0.101,0.071
109,Cameroon,Sub-Saharan Africa,3.951,0.651,0.861,0.511,0.361,0.151,0.041
110,Botswana,Sub-Saharan Africa,3.931,1.081,0.941,0.591,0.411,0.121,0.091
111,Rwanda,Sub-Saharan Africa,3.911,0.541,0.921,0.581,0.521,0.261,0.191
112,Zimbabwe,Sub-Saharan Africa,3.891,0.491,0.881,0.521,0.381,0.131,0.051
113,Tanzania,Sub-Saharan Africa,3.871,0.531,0.891,0.531,0.441,0.261,0.081
114,Eswatini,Sub-Saharan Africa,3.851,0.891,0.871,0.421,0.361,0.111,0.061
115,Congo,Sub-Saharan Africa,3.831,0.671,0.861,0.461,0.351,0.131,0.041
116,Sudan,Sub-Saharan Africa,3.811,0.491,0.841,0.511,0.301,0.141,0.031
117,Namibia,Sub-Saharan Africa,3.791,0.981,0.911,0.561,0.411,0.141,0.091
118,Mauritania,Sub-Saharan Africa,3.771,0.671,0.861,0.561,0.381,0.141,0.051
119,Angola,Sub-Saharan Africa,3.751,0.851,0.861,0.481,0.351,0.101,0.041
120,Somalia,Sub-Saharan Africa,3.731,0.201,0.771,0.381,0.301,0.151,0.021
121,Guinea-Bissau,Sub-Saharan Africa,3.711,0.291,0.791,0.421,0.321,0.141,0.031
122,Yemen,Middle East and North Africa,3.541,0.411,0.831,0.571,0.241,0.091,0.031
123,Haiti,Latin America and Caribbean,3.521,0.361,0.801,0.571,0.261,0.131,0.021
124,Lesotho,Sub-Saharan Africa,3.501,0.541,0.791,0.341,0.361,0.101,0.031
125,Burundi,Sub-Saharan Africa,3.481,0.191,0.771,0.451,0.301,0.191,0.021
126,DR Congo,Sub-Saharan Africa,3.461,0.281,0.781,0.411,0.311,0.171,0.021
127,Central African Republic,Sub-Saharan Africa,3.441,0.171,0.691,0.341,0.261,0.131,0.011
128,South Sudan,Sub-Saharan Africa,3.421,0.361,0.691,0.341,0.221,0.171,0.011
129,Sierra Leone,Sub-Saharan Africa,3.401,0.351,0.741,0.371,0.311,0.201,0.021
130,Mozambique,Sub-Saharan Africa,3.381,0.261,0.721,0.381,0.291,0.181,0.011
131,Zambia,Sub-Saharan Africa,3.361,0.411,0.731,0.421,0.301,0.191,0.021
132,Mali,Sub-Saharan Africa,3.341,0.341,0.711,0.391,0.281,0.161,0.011
133,Niger,Sub-Saharan Africa,3.321,0.181,0.701,0.361,0.271,0.171,0.011
134,Chad,Sub-Saharan Africa,3.301,0.271,0.691,0.331,0.251,0.151,0.011
135,Malawi,Sub-Saharan Africa,3.281,0.201,0.681,0.371,0.261,0.231,0.011
136,Burkina Faso,Sub-Saharan Africa,3.261,0.271,0.671,0.341,0.241,0.141,0.011
137,Liberia,Sub-Saharan Africa,3.241,0.181,0.661,0.321,0.231,0.171,0.011
138,Togo,Sub-Saharan Africa,3.221,0.271,0.651,0.321,0.221,0.141,0.011
139,Guinea,Sub-Saharan Africa,3.201,0.311,0.641,0.311,0.211,0.131,0.011
140,Haiti,Latin America and Caribbean,3.181,0.241,0.631,0.351,0.201,0.101,0.011
141,Yemen,Middle East and North Africa,2.891,0.291,0.611,0.421,0.181,0.071,0.011
142,Lebanon,Middle East and North Africa,2.707,0.491,0.691,0.691,0.191,0.071,0.021
143,Zimbabwe,Sub-Saharan Africa,2.811,0.341,0.621,0.381,0.211,0.091,0.011
144,Congo DR,Sub-Saharan Africa,2.761,0.191,0.601,0.311,0.201,0.141,0.011
145,South Sudan,Sub-Saharan Africa,2.711,0.251,0.581,0.251,0.181,0.131,0.011
146,Rwanda,Sub-Saharan Africa,2.661,0.391,0.701,0.431,0.381,0.201,0.141
147,Afghanistan,South Asia,1.446,0.241,0.341,0.361,0.071,0.071,0.011
