event_id,date,year,month,day_of_year,season,region_id,region_name,country,continent,latitude,longitude,climate_zone,vegetation_type,fire_radiative_power_mw,burn_area_hectares,burn_area_km2,severity,fire_duration_days,contained,human_caused,detection_satellite,detection_confidence,co2_emissions_tonnes,pm25_emissions_tonnes,pm10_emissions_tonnes,co_emissions_tonnes,ch4_emissions_tonnes,air_temp_celsius,relative_humidity_pct,wind_speed_kmh,wind_direction,drought_index,structures_threatened,structures_destroyed,evacuation_orders,people_evacuated,enso_phase,climate_anomaly_year
WF0000033,2001-07-10,2001,7,191,Summer,ca_bc,British Columbia,Canada,North America,52.9986,-124.5853,Temperate,Boreal Forest,792.7,52530.0,525.3,Extreme,22,1,1,Landsat 8/9,Nominal,30150.1,2165.19,3498.17,3733.36,345.421,22.9,34.4,54.0,S,0.419,515,151,1,40434,0.0,0
WF0000034,2001-09-24,2001,9,267,Autumn,ca_bc,British Columbia,Canada,North America,55.417,-130.3038,Temperate,Boreal Forest,1380.9,104302.9,1043.03,Extreme,7,1,1,VIIRS S-NPP,Nominal,49033.1,2869.25,5716.69,4195.0,897.814,20.8,17.6,31.0,NW,0.744,2,0,1,2301,0.0,0
WF0000035,2001-07-02,2001,7,183,Summer,ca_bc,British Columbia,Canada,North America,58.1454,-121.172,Temperate,Boreal Forest,2428.5,6602.1,66.02,Extreme,1,1,0,VIIRS NOAA-20,High,3152.7,167.09,355.61,233.49,35.295,24.6,30.1,5.5,N,0.592,2,0,1,250,0.0,0
WF0000036,2001-08-26,2001,8,238,Summer,ca_bc,British Columbia,Canada,North America,52.6794,-131.5951,Temperate,Boreal Forest,85.0,3308.0,33.08,Moderate,3,0,1,MODIS Terra,High,1378.5,84.7,156.24,202.78,12.823,28.8,14.6,56.5,N,0.399,0,0,0,0,0.0,0
WF0000037,2001-07-24,2001,7,205,Summer,ca_bc,British Columbia,Canada,North America,51.3383,-120.5264,Temperate,Boreal Forest,16234.6,120024.9,1200.25,Extreme,3,1,1,MODIS Terra,High,70967.5,2626.73,5772.7,9383.74,645.813,29.9,28.2,15.4,SW,0.815,0,0,1,328,0.0,0
WF0000038,2001-09-10,2001,9,253,Autumn,ca_bc,British Columbia,Canada,North America,56.262,-123.4173,Temperate,Boreal Forest,62.9,181.4,1.81,Low,4,1,0,VIIRS S-NPP,High,91.8,7.08,17.05,10.85,1.76,28.7,5.0,55.0,E,0.574,0,0,0,0,0.0,0
WF0000039,2001-07-18,2001,7,199,Summer,ca_bc,British Columbia,Canada,North America,54.2595,-128.1726,Temperate,Boreal Forest,401.3,5187.1,51.87,Moderate,2,0,1,Sentinel-3,High,3361.1,191.19,415.88,307.98,20.165,34.1,33.3,22.5,N,0.463,0,0,0,0,0.0,0
WF0000040,2001-08-02,2001,8,214,Summer,ca_bc,British Columbia,Canada,North America,52.5806,-124.6775,Temperate,Boreal Forest,907.3,6645.9,66.46,High,4,0,0,VIIRS NOAA-20,High,2551.8,148.81,291.51,316.58,37.073,20.7,6.0,20.3,SE,0.626,0,0,0,0,0.0,0
WF0000041,2001-08-22,2001,8,234,Summer,ca_ab,Alberta,Canada,North America,55.3775,-109.0728,Continental,Boreal Forest,383.1,4504.8,45.05,Moderate,3,1,1,MODIS Terra,Nominal,1738.0,56.84,137.24,207.14,18.937,33.2,11.2,42.3,SE,0.495,0,0,0,0,0.0,0
WF0000042,2001-07-23,2001,7,204,Summer,ca_ab,Alberta,Canada,North America,56.648,-116.2683,Continental,Boreal Forest,83.5,9768.1,97.68,Moderate,1,1,1,MODIS Terra,High,3485.1,179.17,434.86,492.5,69.545,25.2,20.3,7.6,E,0.721,0,0,0,0,0.0,0
WF0000043,2001-07-12,2001,7,193,Summer,ca_ab,Alberta,Canada,North America,54.4461,-111.8491,Continental,Boreal Forest,1468.3,131052.2,1310.52,Extreme,1,1,1,VIIRS S-NPP,Nominal,47880.9,2403.71,5354.67,5836.85,277.761,25.0,7.2,55.9,N,0.665,12,4,1,26,0.0,0
WF0000044,2001-07-12,2001,7,193,Summer,ca_ab,Alberta,Canada,North America,55.054,-116.444,Continental,Boreal Forest,2529.9,6849.5,68.5,Extreme,54,1,1,Landsat 8/9,High,2695.6,205.33,510.05,359.58,34.034,24.3,8.5,33.7,W,0.406,6,0,1,86,0.0,0
WF0000045,2001-07-15,2001,7,196,Summer,ca_qc,Quebec,Canada,North America,49.1591,-70.1191,Continental,Boreal Forest,614.7,12322.4,123.22,High,24,0,1,MODIS Terra,Nominal,4778.2,258.75,413.66,497.61,37.176,34.0,11.8,35.4,N,0.651,1,0,0,0,0.0,0
WF0000046,2001-06-19,2001,6,170,Summer,ca_qc,Quebec,Canada,North America,53.5982,-71.1664,Continental,Boreal Forest,1248.0,1011.7,10.12,High,1,1,0,MODIS Aqua,High,613.4,15.35,37.2,82.16,3.232,32.3,32.4,43.9,SW,0.633,0,0,0,0,0.0,0
WF0000047,2001-08-16,2001,8,228,Summer,ca_qc,Quebec,Canada,North America,48.2409,-79.8074,Continental,Boreal Forest,399.4,333.3,3.33,Moderate,14,0,1,VIIRS NOAA-20,Nominal,213.6,16.91,41.91,19.73,2.323,24.5,15.8,20.2,N,0.698,0,0,0,0,0.0,0
WF0000048,2001-07-01,2001,7,182,Summer,ca_qc,Quebec,Canada,North America,56.7198,-75.9158,Continental,Boreal Forest,846.4,6550.5,65.5,High,12,0,0,VIIRS S-NPP,Nominal,2409.0,58.22,131.38,322.23,14.265,31.1,12.5,27.7,SW,0.578,1,0,0,0,0.0,0
WF0000049,2001-07-14,2001,7,195,Summer,ca_qc,Quebec,Canada,North America,50.2824,-73.7207,Continental,Boreal Forest,289.8,3634.6,36.35,Moderate,2,1,1,Landsat 8/9,High,1438.8,85.38,186.0,195.38,9.232,27.2,16.0,13.5,NW,0.516,0,0,0,0,0.0,0
WF0000050,2001-07-15,2001,7,196,Summer,ca_qc,Quebec,Canada,North America,56.7102,-71.2329,Continental,Boreal Forest,911.5,15266.1,152.66,High,1,1,1,MODIS Aqua,Nominal,7519.5,478.35,719.52,1127.1,93.767,24.4,11.5,52.0,S,0.414,1,0,0,0,0.0,0
WF0000051,2001-07-12,2001,7,193,Summer,ca_qc,Quebec,Canada,North America,50.8484,-73.2905,Continental,Boreal Forest,170.2,1199.5,11.99,Moderate,64,1,1,VIIRS S-NPP,High,528.6,27.17,51.54,57.52,8.799,34.3,13.3,17.2,E,0.617,0,0,0,0,0.0,0
WF0000052,2001-07-21,2001,7,202,Summer,us_ca,California,USA,North America,35.6758,-112.8437,Mediterranean,Chaparral/Forest,139.2,5584.8,55.85,Moderate,7,0,1,VIIRS S-NPP,Nominal,1411.3,49.71,114.54,155.4,12.4,21.7,19.9,31.2,SE,0.638,0,0,0,0,0.0,0
WF0000053,2001-11-08,2001,11,312,Autumn,us_ca,California,USA,North America,41.8787,-120.5122,Mediterranean,Chaparral/Forest,429.7,13381.2,133.81,High,8,1,0,VIIRS S-NPP,High,3681.8,247.43,446.87,517.68,48.511,23.1,6.5,13.8,NW,0.365,0,0,0,0,0.0,0
WF0000054,2001-08-27,2001,8,239,Summer,us_ca,California,USA,North America,35.2904,-116.5004,Mediterranean,Chaparral/Forest,550.9,28395.4,283.95,High,1,1,1,MODIS Aqua,High,5998.4,462.23,884.2,871.84,93.19,43.1,20.1,45.3,SE,0.934,8,0,0,0,0.0,0
WF0000055,2001-11-07,2001,11,311,Autumn,us_ca,California,USA,North America,39.2619,-117.4376,Mediterranean,Chaparral/Forest,1455.4,8640.5,86.41,High,1,1,0,MODIS Aqua,High,1842.3,79.89,192.7,98.63,13.887,36.8,6.4,25.3,E,0.355,1,0,0,0,0.0,0
WF0000056,2001-10-11,2001,10,284,Autumn,us_ca,California,USA,North America,39.7748,-120.1364,Mediterranean,Chaparral/Forest,314.3,5613.6,56.14,Moderate,7,1,0,MODIS Aqua,Nominal,1490.9,75.21,135.0,207.76,21.821,38.4,30.1,59.9,N,0.408,0,0,0,0,0.0,0
WF0000057,2001-10-19,2001,10,292,Autumn,us_ca,California,USA,North America,38.0942,-119.4404,Mediterranean,Chaparral/Forest,529.7,2186.9,21.87,Moderate,2,1,0,MODIS Aqua,High,484.9,30.98,70.24,59.03,2.437,33.0,18.1,27.1,N,0.423,0,0,0,0,0.0,0
WF0000058,2001-09-11,2001,9,254,Autumn,us_ca,California,USA,North America,36.1554,-118.9861,Mediterranean,Chaparral/Forest,257.9,2005.9,20.06,Moderate,2,1,0,Sentinel-3,High,498.4,24.73,41.44,74.7,5.728,39.6,34.4,12.0,NE,0.818,0,0,0,0,0.0,0
WF0000059,2001-08-04,2001,8,216,Summer,us_or,Oregon,USA,North America,44.2153,-119.0765,Temperate,Conifer Forest,284.5,6051.8,60.52,Moderate,4,1,0,MODIS Terra,Low,2092.7,157.1,290.24,148.33,33.581,36.9,22.5,37.9,NW,0.255,0,0,0,0,0.0,0
WF0000060,2001-09-13,2001,9,256,Autumn,us_or,Oregon,USA,North America,45.783,-120.3124,Temperate,Conifer Forest,65.1,128.9,1.29,Low,1,1,0,MODIS Aqua,High,27.5,0.8,1.54,2.55,0.204,30.6,29.1,32.5,S,0.505,0,0,0,0,0.0,0
WF0000061,2001-09-25,2001,9,268,Autumn,us_or,Oregon,USA,North America,42.5534,-117.6143,Temperate,Conifer Forest,94.2,27.0,0.27,Low,17,1,1,VIIRS S-NPP,High,7.3,0.55,0.91,0.93,0.138,20.8,7.8,42.6,SE,0.745,0,0,0,0,0.0,0
WF0000062,2001-07-03,2001,7,184,Summer,us_or,Oregon,USA,North America,43.7856,-118.3203,Temperate,Conifer Forest,306.0,672.2,6.72,Moderate,12,1,1,VIIRS S-NPP,High,159.6,3.59,7.49,9.6,1.568,39.9,23.9,47.8,NW,0.706,0,0,0,0,0.0,0
WF0000063,2001-09-19,2001,9,262,Autumn,us_wa,Washington,USA,North America,51.2325,-118.1182,Temperate,Conifer Forest,123.8,2711.6,27.12,Moderate,3,0,1,VIIRS NOAA-20,High,1014.1,56.66,102.79,54.47,9.509,36.9,6.0,8.1,NE,0.633,0,0,0,0,0.0,0
WF0000064,2001-08-06,2001,8,218,Summer,us_wa,Washington,USA,North America,49.3326,-119.7304,Temperate,Conifer Forest,464.9,19186.8,191.87,High,2,1,0,VIIRS S-NPP,High,4516.9,106.44,187.92,325.57,52.488,21.4,16.5,32.3,W,0.65,8,3,0,0,0.0,0
WF0000065,2001-07-09,2001,7,190,Summer,us_wa,Washington,USA,North America,45.0059,-119.6661,Temperate,Conifer Forest,3110.5,87101.3,871.01,Extreme,8,1,0,VIIRS NOAA-20,High,18831.9,1320.49,2131.24,2706.11,122.766,20.6,9.8,37.7,S,0.292,0,0,1,10977,0.0,0
WF0000066,2001-09-01,2001,9,244,Autumn,us_wa,Washington,USA,North America,46.8902,-122.5822,Temperate,Conifer Forest,1152.2,69683.6,696.84,Extreme,6,1,0,MODIS Aqua,High,26534.8,841.63,1528.53,3966.6,354.284,26.1,19.6,46.2,SE,0.32,18,5,1,138,0.0,0
WF0000067,2001-08-12,2001,8,224,Summer,us_wa,Washington,USA,North America,44.6059,-119.2309,Temperate,Conifer Forest,2579.8,18606.6,186.07,Extreme,5,1,0,VIIRS NOAA-20,Nominal,4512.4,151.7,312.08,425.39,76.947,28.7,21.2,22.3,S,0.546,3,0,1,904,0.0,0
WF0000068,2001-08-24,2001,8,236,Summer,us_co,Colorado,USA,North America,37.0905,-106.1441,Continental/Alpine,Mixed Forest,4909.3,16907.4,169.07,Extreme,2,1,0,VIIRS NOAA-20,Nominal,5377.9,263.85,507.2,476.11,102.823,34.3,16.9,27.0,SE,0.464,28,5,1,452,0.0,0
WF0000069,2001-09-09,2001,9,252,Autumn,us_co,Colorado,USA,North America,38.3854,-101.271,Continental/Alpine,Mixed Forest,2029.1,123843.1,1238.43,Extreme,3,0,1,VIIRS S-NPP,Nominal,32546.8,762.61,1834.29,4535.64,509.724,33.7,12.4,44.2,NE,0.449,39,0,1,160,0.0,0
WF0000070,2001-07-09,2001,7,190,Summer,us_co,Colorado,USA,North America,41.3442,-101.3455,Continental/Alpine,Mixed Forest,259.0,1489.9,14.9,Moderate,24,1,0,MODIS Aqua,High,332.2,18.06,37.26,24.46,3.984,20.9,28.7,17.2,SE,0.284,0,0,0,0,0.0,0
WF0000071,2001-06-18,2001,6,169,Summer,us_co,Colorado,USA,North America,37.129,-105.3635,Continental/Alpine,Mixed Forest,270.9,18083.0,180.83,High,4,1,0,Sentinel-3,High,4294.6,130.35,272.28,439.83,50.375,28.5,18.2,33.6,SW,0.695,11,2,0,0,0.0,0
WF0000072,2001-06-14,2001,6,165,Summer,us_nm,New Mexico,USA,North America,39.6818,-103.8831,Arid/Semi-arid,Pinyon-Juniper,51.2,159.6,1.6,Low,16,1,0,MODIS Terra,High,50.6,3.56,8.54,6.05,0.804,22.7,30.7,30.9,N,0.715,0,0,0,0,0.0,0
WF0000073,2001-07-08,2001,7,189,Summer,us_nm,New Mexico,USA,North America,35.6002,-106.6714,Arid/Semi-arid,Pinyon-Juniper,4165.6,91180.1,911.8,Extreme,3,1,0,VIIRS NOAA-20,Low,21688.1,1377.14,3272.03,2149.42,332.934,37.0,34.8,32.6,SE,0.741,0,0,1,960,0.0,0
WF0000074,2001-05-19,2001,5,139,Spring,us_nm,New Mexico,USA,North America,35.7613,-104.9016,Arid/Semi-arid,Pinyon-Juniper,144.2,138.4,1.38,Low,4,1,1,VIIRS NOAA-20,Nominal,39.1,3.1,5.94,3.56,0.502,33.6,17.4,42.3,W,0.693,0,0,0,0,0.0,0
WF0000075,2001-06-23,2001,6,174,Summer,us_nm,New Mexico,USA,North America,36.4772,-105.0007,Arid/Semi-arid,Pinyon-Juniper,523.6,742.5,7.42,Moderate,35,0,0,VIIRS NOAA-20,High,249.0,13.58,21.51,30.01,2.785,21.2,19.5,23.2,SE,0.267,0,0,0,0,0.0,0
WF0000076,2001-06-17,2001,6,168,Summer,us_nm,New Mexico,USA,North America,37.7452,-104.4586,Arid/Semi-arid,Pinyon-Juniper,676.0,65100.4,651.0,Extreme,7,1,1,Sentinel-3,Nominal,21335.5,781.83,1276.23,1280.34,110.417,29.9,19.8,43.5,N,0.291,2,0,1,12,0.0,0
WF0000077,2001-07-07,2001,7,188,Summer,us_nm,New Mexico,USA,North America,31.3685,-106.4264,Arid/Semi-arid,Pinyon-Juniper,36.3,257.6,2.58,Low,20,1,0,VIIRS NOAA-20,High,63.8,3.66,6.66,4.87,0.625,28.4,26.8,36.6,S,0.861,0,0,0,0,0.0,0
WF0000078,2001-06-08,2001,6,159,Summer,us_nm,New Mexico,USA,North America,37.7927,-109.325,Arid/Semi-arid,Pinyon-Juniper,182.0,28968.8,289.69,High,12,1,0,MODIS Terra,High,10546.6,734.34,1121.8,564.5,173.897,27.0,22.0,56.7,NW,0.767,5,0,0,0,0.0,0
WF0000079,2001-03-25,2001,3,84,Spring,us_tx,Texas,USA,North America,35.9248,-100.8405,Subtropical/Arid,Grassland,137.4,2489.9,24.9,Moderate,10,1,1,MODIS Aqua,High,404.1,13.45,24.21,52.17,6.252,30.3,26.6,47.8,S,0.69,0,0,0,0,0.0,0
WF0000080,2001-03-13,2001,3,72,Spring,us_tx,Texas,USA,North America,29.995,-101.2431,Subtropical/Arid,Grassland,457.9,147915.2,1479.15,Extreme,10,1,1,MODIS Terra,Nominal,21330.2,935.55,1805.94,1903.25,388.874,31.2,18.7,56.5,N,0.64,0,0,1,182,0.0,0
WF0000081,2001-06-01,2001,6,152,Summer,us_tx,Texas,USA,North America,31.381,-100.2074,Subtropical/Arid,Grassland,116.4,4726.0,47.26,Moderate,3,1,1,VIIRS NOAA-20,High,830.7,60.88,93.45,82.76,7.914,35.8,28.6,56.1,W,0.534,0,0,0,0,0.0,0
WF0000082,2001-06-09,2001,6,160,Summer,us_tx,Texas,USA,North America,32.5469,-99.9916,Subtropical/Arid,Grassland,288.1,1054.9,10.55,Moderate,1,0,1,Landsat 8/9,High,166.6,9.98,20.55,21.22,3.063,32.1,26.9,40.4,SW,0.638,0,0,0,0,0.0,0
WF0000083,2001-04-04,2001,4,94,Spring,us_tx,Texas,USA,North America,34.5165,-100.7727,Subtropical/Arid,Grassland,905.4,24977.9,249.78,High,16,0,1,MODIS Aqua,High,3716.8,137.67,326.23,307.94,58.051,35.3,30.9,52.5,NW,0.436,5,1,0,0,0.0,0
WF0000084,2001-04-26,2001,4,116,Spring,us_tx,Texas,USA,North America,35.8464,-100.9035,Subtropical/Arid,Grassland,71.5,980.5,9.8,Low,6,1,0,VIIRS NOAA-20,Nominal,164.9,10.84,26.44,20.51,1.723,21.6,27.6,28.2,SE,0.413,0,0,0,0,0.0,0
