athlete_id,name,gender,age_at_peak,country,noc_code,region,sport,sport_category,season,first_games_year,last_games_year,games_participated,gold_medals,silver_medals,bronze_medals,total_medals,world_record_holder,personal_best_rank_world,height_cm,weight_kg,bmi,training_hours_per_week,professional_athlete,doping_violation,most_recent_medal_2020plus
A000012,Amara Sørensen,Male,24,Ethiopia,ETH,Africa,Rowing,Rowing,Summer,2012,2020,3,1,2,0,3,0,74,182,66,19.9,26,1,0,1
A000013,Priya Zhang,Female,28,Morocco,MAR,Africa,Golf,Other,Summer,2004,2004,1,0,2,0,2,0,22,163,68,25.6,22,1,0,0
A000014,Sydney Martínez,Female,23,Czech Republic,CZE,Europe,Gymnastics,Gymnastics,Summer,1994,2002,2,0,0,0,0,0,44,150,58,25.8,24,1,0,0
A000015,Yuna Petrov,Female,32,Latvia,LAT,Europe,Sport Climbing,Urban,Summer,2014,2014,1,1,1,0,2,0,3,171,54,18.5,20,1,0,0
A000016,Astrid García,Female,27,Czech Republic,CZE,Europe,Sailing,Water,Summer,2020,2020,1,0,0,0,0,0,2,169,64,22.4,22,1,0,0
A000017,Sipho Weber,Male,21,Mexico,MEX,North America,Skateboarding,Urban,Summer,2016,2026,3,0,0,1,1,0,60,188,63,17.8,17,0,0,1
A000018,Léa García,Female,25,Cuba,CUB,North America,Golf,Other,Summer,2010,2018,2,0,1,0,1,0,191,159,64,25.3,25,1,0,0
A000019,Naomi Silva,Female,34,Lithuania,LTU,Europe,Cross-Country Skiing,Skiing,Winter,2006,2006,1,0,1,0,1,0,88,162,62,23.6,23,1,0,0
A000020,Fernanda Shaikh,Female,25,Sweden,SWE,Europe,Pentathlon,Multi,Summer,2014,2018,1,1,0,1,2,0,341,178,48,15.1,20,1,0,0
A000021,Oliver García,Male,21,South Africa,RSA,Africa,Sailing,Water,Summer,1994,1994,1,0,0,1,1,0,188,178,74,23.4,29,1,0,0
A000022,Carlos Smith,Male,26,New Zealand,NZL,Oceania,Tennis,Racquet,Summer,2008,2012,2,0,1,1,2,0,307,179,80,25.0,24,1,0,0
A000023,Olivia Ali,Female,32,Canada,CAN,North America,Curling,Ice Sports,Winter,2006,2006,1,0,0,0,0,0,462,173,61,20.4,27,1,0,0
A000024,Oliver Ferreira,Male,26,Greece,GRE,Europe,Alpine Skiing,Skiing,Winter,2004,2008,1,1,0,0,1,0,242,181,79,24.1,25,0,0,0
A000025,Diego Adenike,Male,35,Lithuania,LTU,Europe,Golf,Other,Summer,2010,2014,1,0,0,1,1,0,1,172,67,22.6,36,1,0,0
A000026,Sasha Martínez,Female,17,Estonia,EST,Europe,Table Tennis,Racquet,Summer,2004,2016,4,1,1,0,2,0,433,175,71,23.2,24,1,0,0
A000027,Noa Sørensen,Male,29,South Korea,KOR,Asia,Hockey (Field),Team Ball,Summer,2000,2000,1,0,1,0,1,0,370,174,71,23.5,30,1,0,0
A000028,Hana Sørensen,Female,32,Azerbaijan,AZE,Europe/Asia,Skeleton,Sliding,Winter,1996,1996,1,0,0,1,1,0,402,161,68,26.2,33,1,0,0
A000029,Jade Okonkwo,Female,26,New Zealand,NZL,Oceania,Weightlifting,Strength,Summer,2004,2012,3,0,0,0,0,0,361,160,81,31.6,23,1,0,0
A000030,Hassan Ferreira,Male,27,Brazil,BRA,South America,Canoe/Kayak,Water,Summer,2000,2012,4,1,0,1,2,0,231,180,89,27.5,28,1,0,0
A000031,Wei Tran,Male,37,Philippines,PHI,Asia,Shooting,Shooting,Summer,2002,2002,1,0,1,0,1,0,13,167,84,30.1,29,0,0,0
A000032,Jakub Rossi,Male,24,Ukraine,UKR,Europe,Rowing,Rowing,Summer,2000,2000,1,0,1,0,1,0,158,183,97,29.0,39,1,0,0
A000033,Yuna Müller,Female,34,Hungary,HUN,Europe,Taekwondo,Combat,Summer,2014,2022,2,2,1,1,4,1,72,155,61,25.4,37,1,0,1
A000034,James Tran,Male,25,Ethiopia,ETH,Africa,Sailing,Water,Summer,1998,2002,1,0,1,0,1,0,257,181,93,28.4,28,0,0,0
A000035,Valentina Kumar,Female,26,Belarus,BLR,Europe,Wrestling,Combat,Summer,1992,1996,2,0,2,1,3,0,3,170,75,26.0,11,1,0,0
A000036,Amina Petrov,Female,25,Germany,GER,Europe,Water Polo,Aquatics,Summer,2016,2024,3,1,2,1,4,0,269,173,63,21.0,28,1,0,1
A000037,Sydney Kim,Female,25,Uganda,UGA,Africa,Triathlon,Multi,Summer,2022,2026,1,0,0,0,0,0,233,164,53,19.7,23,1,0,0
A000038,Leon Smith,Male,29,Argentina,ARG,South America,Bobsled,Sliding,Winter,1992,1996,1,1,1,0,2,0,72,168,82,29.1,14,1,0,0
A000039,Amara Shaikh,Male,29,Iran,IRI,Asia,Athletics,Track & Field,Summer,2002,2010,2,1,1,0,2,0,16,183,64,19.1,14,1,0,0
A000040,Sophia Zhang,Female,26,Lithuania,LTU,Europe,Swimming,Aquatics,Summer,2004,2012,3,0,1,0,1,0,19,169,47,16.5,39,1,0,0
A000041,Mia Adenike,Female,38,Denmark,DEN,Europe,Shooting,Shooting,Summer,2000,2012,4,1,2,0,3,0,488,160,87,34.0,32,1,1,0
A000042,Megan Yıldız,Female,15,Finland,FIN,Europe,Speed Skating,Skating,Winter,1998,2006,3,0,0,2,2,0,122,166,67,24.3,40,1,0,0
A000043,Oliver García,Male,25,Austria,AUT,Europe,Tennis,Racquet,Summer,2014,2026,3,2,3,4,9,0,76,188,62,17.5,38,1,0,1
A000044,Sipho Okonkwo,Male,33,Mexico,MEX,North America,Curling,Ice Sports,Winter,1994,1998,2,1,0,1,2,0,316,189,84,23.5,18,1,0,0
A000045,Arjun Shaikh,Male,26,South Korea,KOR,Asia,Handball,Team Ball,Summer,2020,2024,2,0,1,1,2,0,52,181,86,26.3,27,1,0,1
A000046,Liam Kim,Male,24,Colombia,COL,South America,Weightlifting,Strength,Summer,2022,2026,1,2,0,1,3,0,113,168,102,36.1,21,1,0,1
A000047,Oliver Adenike,Male,30,Georgia,GEO,Europe/Asia,Archery,Target,Summer,2012,2020,3,1,2,0,3,0,376,167,63,22.6,27,1,0,1
A000048,Hana Hernández,Female,20,Great Britain,GBR,Europe,Surfing,Other,Summer,1992,1992,1,0,0,0,0,0,188,174,50,16.5,19,1,0,0
A000049,Zara Björk,Female,23,Greece,GRE,Europe,Hockey (Field),Team Ball,Summer,2020,2026,2,0,1,3,4,0,196,161,58,22.4,29,1,0,1
A000050,Hassan Ngozi,Male,28,Sweden,SWE,Europe,Speed Skating,Skating,Winter,2008,2012,1,0,1,1,2,0,171,175,67,21.9,25,1,0,0
A000051,Zara Yıldız,Female,25,Ukraine,UKR,Europe,Canoe/Kayak,Water,Summer,2012,2016,2,2,0,0,2,0,25,162,64,24.4,37,1,0,0
A000052,Arjun Martínez,Male,28,France,FRA,Europe,Equestrian,Other,Summer,2000,2004,2,1,1,1,3,0,5,183,74,22.1,24,1,0,0
A000053,Hugo Kim,Male,25,Belarus,BLR,Europe,Wrestling,Combat,Summer,2004,2008,2,0,0,0,0,0,245,179,75,23.4,28,1,0,0
A000054,Astrid Björk,Female,24,Georgia,GEO,Europe/Asia,Figure Skating,Skating,Winter,2004,2004,1,0,0,0,0,0,113,164,61,22.7,27,1,0,0
A000055,Diego Patel,Male,22,Hungary,HUN,Europe,Hockey (Field),Team Ball,Summer,2008,2012,2,0,0,0,0,0,3,173,88,29.4,20,1,0,0
A000056,Astrid Johnson,Female,32,Indonesia,INA,Asia,Curling,Ice Sports,Winter,2020,2020,1,0,0,0,0,0,489,160,68,26.6,19,0,0,0
A000057,Wei Rossi,Female,30,Georgia,GEO,Europe/Asia,Athletics,Track & Field,Summer,2016,2020,2,0,0,0,0,0,304,157,47,19.1,10,0,0,0
A000058,Yuki Yıldız,Female,29,Great Britain,GBR,Europe,Boxing,Combat,Summer,1996,2000,2,1,3,0,4,0,52,169,66,23.1,37,1,0,0
A000059,Elias Osei,Male,28,Poland,POL,Europe,Tennis,Racquet,Summer,2002,2002,1,1,0,0,1,0,430,176,76,24.5,31,1,0,0
A000060,Yuna Adenike,Female,31,Denmark,DEN,Europe,Rugby Sevens,Team Ball,Summer,2008,2008,1,0,1,1,2,0,3,171,70,23.9,30,1,0,0
A000061,Pietro Dubois,Male,21,Thailand,THA,Asia,Diving,Aquatics,Summer,2006,2010,1,0,0,0,0,0,223,177,78,24.9,30,1,0,0
A000062,Kwame Patel,Male,16,Poland,POL,Europe,Cross-Country Skiing,Skiing,Winter,2016,2024,2,0,2,1,3,0,1,172,97,32.8,28,1,0,1
A000063,Olivia Ferreira,Female,25,United States,USA,North America,Breakdancing,Urban,Summer,2018,2022,1,0,0,0,0,0,206,166,70,25.4,21,1,0,0
A000064,Takumi Okonkwo,Male,25,Germany,GER,Europe,Rowing,Rowing,Summer,1998,2002,1,0,0,0,0,0,44,179,75,23.4,25,1,0,0
A000065,Oliver Smith,Male,21,Mexico,MEX,North America,Gymnastics,Gymnastics,Summer,1992,1992,1,0,0,0,0,0,257,166,64,23.2,23,1,0,0
A000066,Hugo Osei,Male,22,Sweden,SWE,Europe,Gymnastics,Gymnastics,Summer,2008,2016,3,1,0,0,1,0,65,154,58,24.5,37,0,0,0
A000067,Hana Zhang,Female,24,Lithuania,LTU,Europe,Golf,Other,Summer,1998,2002,1,0,0,0,0,0,486,162,72,27.4,32,0,0,0
A000068,Jana Björk,Female,27,Slovakia,SVK,Europe,Snowboard,Snowboard,Winter,2002,2002,1,0,0,1,1,0,9,170,60,20.8,17,1,0,0
A000069,Carlos Ngozi,Male,40,Spain,ESP,Europe,Shooting,Shooting,Summer,2012,2016,2,0,1,1,2,0,169,183,76,22.7,16,1,0,0
A000070,Jana Adenike,Female,27,Estonia,EST,Europe,Water Polo,Aquatics,Summer,1992,2000,3,0,3,1,4,1,171,157,63,25.6,39,1,0,0
A000071,Jana Shaikh,Female,24,Italy,ITA,Europe,Alpine Skiing,Skiing,Winter,2014,2018,2,0,1,0,1,0,35,159,69,27.3,30,1,0,0
A000072,Lukas Kim,Male,37,South Africa,RSA,Africa,Curling,Ice Sports,Winter,2016,2016,1,0,1,0,1,0,312,181,86,26.3,41,0,0,0
A000073,Sydney Kumar,Female,26,Ukraine,UKR,Europe,Rugby Sevens,Team Ball,Summer,2002,2006,1,0,0,0,0,0,93,167,65,23.3,38,1,0,0
A000074,Anita Ferreira,Female,27,Lithuania,LTU,Europe,Freestyle Skiing,Skiing,Winter,2004,2012,2,1,0,0,1,0,4,172,59,19.9,33,1,0,0
A000075,Anita Volkov,Female,27,Philippines,PHI,Asia,Wrestling,Combat,Summer,1996,1996,1,0,1,0,1,0,92,152,61,26.4,35,1,0,0
A000076,Priya Ngozi,Female,30,Uganda,UGA,Africa,Surfing,Other,Summer,2004,2004,1,0,0,0,0,0,218,174,60,19.8,32,0,0,0
A000077,Takumi Ngozi,Male,32,Czech Republic,CZE,Europe,Canoe/Kayak,Water,Summer,2002,2010,2,0,1,1,2,0,317,173,69,23.1,35,1,0,0
A000078,Jade Tran,Female,18,North Korea,PRK,Asia,Hockey (Field),Team Ball,Summer,2008,2016,3,2,0,2,4,0,84,166,69,25.0,15,1,0,0
A000079,Rafael Ngozi,Male,27,Argentina,ARG,South America,Weightlifting,Strength,Summer,2010,2014,1,0,1,0,1,0,255,172,95,32.1,24,1,0,0
A000080,Olivia Weber,Female,31,Turkey,TUR,Europe/Asia,Triathlon,Multi,Summer,1998,1998,1,1,1,0,2,0,12,168,53,18.8,33,1,0,0
A000081,Elias Weber,Male,21,North Korea,PRK,Asia,Athletics,Track & Field,Summer,2020,2020,1,0,0,1,1,0,349,188,74,20.9,21,1,0,1
A000082,Yuki Smith,Female,26,Netherlands,NED,Europe,Rowing,Rowing,Summer,2016,2024,3,0,1,0,1,0,253,161,55,21.2,23,0,0,1
A000083,Zara Dubois,Female,28,Australia,AUS,Oceania,Breakdancing,Urban,Summer,2022,2026,1,0,1,0,1,0,84,164,72,26.8,21,1,0,1
A000084,Oliver Osei,Male,28,Georgia,GEO,Europe/Asia,Rugby Sevens,Team Ball,Summer,2016,2016,1,0,0,0,0,0,22,181,86,26.3,22,0,0,0
A000085,Leon Tran,Male,24,South Africa,RSA,Africa,Badminton,Racquet,Summer,2010,2014,1,1,1,1,3,0,5,164,76,28.3,29,1,0,0
A000086,Amina Kumar,Female,28,Slovakia,SVK,Europe,Cross-Country Skiing,Skiing,Winter,2012,2020,2,0,1,0,1,0,391,156,67,27.5,32,1,0,1
A000087,Olivia Osei,Female,22,Ukraine,UKR,Europe,Speed Skating,Skating,Winter,2010,2018,3,1,2,1,4,0,2,165,57,20.9,30,1,0,0
A000088,Sophia Tran,Female,22,Germany,GER,Europe,Cycling,Cycling,Summer,2002,2014,3,1,2,1,4,0,94,166,63,22.9,28,1,0,0
A000089,Carlos Hernández,Male,33,Netherlands,NED,Europe,Table Tennis,Racquet,Summer,1992,1996,2,0,1,2,3,0,137,183,86,25.7,12,1,0,0
A000090,Valentina Zhang,Female,28,Czech Republic,CZE,Europe,Nordic Combined,Skiing,Winter,2010,2014,2,2,1,1,4,1,78,160,71,27.7,36,1,0,0
A000091,Elias Hernández,Male,31,Azerbaijan,AZE,Europe/Asia,Surfing,Other,Summer,2018,2026,2,0,1,1,2,0,228,177,76,24.3,29,1,0,1
A000092,Takumi Rossi,Male,32,Armenia,ARM,Europe/Asia,Cross-Country Skiing,Skiing,Winter,2022,2026,2,1,0,1,2,0,47,170,91,31.5,20,1,0,1
A000093,Omar Sørensen,Male,25,South Korea,KOR,Asia,Swimming,Aquatics,Summer,1998,2006,2,1,0,1,2,0,21,181,82,25.0,20,1,0,0
A000094,Liam Dubois,Male,28,Poland,POL,Europe,Swimming,Aquatics,Summer,1994,1994,1,0,0,0,0,0,3,174,65,21.5,10,1,0,0
A000095,James Okonkwo,Male,28,Colombia,COL,South America,Ice Hockey,Ice Sports,Winter,2016,2016,1,0,0,0,0,0,324,185,79,23.1,16,1,0,0
A000096,Jade Ali,Female,36,India,IND,Asia,Biathlon,Biathlon,Winter,2016,2016,1,0,0,1,1,0,31,168,63,22.3,47,1,0,0
A000097,Astrid Müller,Female,22,Mexico,MEX,North America,Swimming,Aquatics,Summer,2014,2014,1,0,0,0,0,0,1,173,69,23.1,37,0,0,0
A000098,Théo Kumar,Male,44,Slovakia,SVK,Europe,Shooting,Shooting,Summer,2006,2010,1,0,1,1,2,0,198,187,87,24.9,15,1,0,0
A000099,Arjun García,Male,33,Netherlands,NED,Europe,Cycling,Cycling,Summer,1996,1996,1,0,0,0,0,0,171,177,70,22.3,34,1,0,0
A000100,Astrid Patel,Female,24,Finland,FIN,Europe,Table Tennis,Racquet,Summer,2002,2006,1,0,0,0,0,0,319,162,72,27.4,31,0,0,0
A000101,Kwame Tran,Male,28,Cuba,CUB,North America,Speed Skating,Skating,Winter,2008,2008,1,1,1,0,2,0,69,171,83,28.4,23,1,0,0
A000102,Amina Zhang,Female,29,Dominican Republic,DOM,North America,Skateboarding,Urban,Summer,1992,2000,3,0,0,0,0,0,1,173,71,23.7,29,1,0,0
A000103,Léa García,Female,30,Ukraine,UKR,Europe,Ice Hockey,Ice Sports,Winter,2012,2016,1,0,0,1,1,0,81,163,64,24.1,38,0,0,0
A000104,Elena Tran,Female,31,Latvia,LAT,Europe,Rowing,Rowing,Summer,2012,2024,4,2,3,1,6,0,240,167,59,21.2,31,1,0,1
A000105,Fatima Lindqvist,Female,26,Croatia,CRO,Europe,Archery,Target,Summer,2014,2014,1,0,0,0,0,0,14,152,55,23.8,22,1,0,0
A000106,Astrid Dubois,Female,31,Indonesia,INA,Asia,Weightlifting,Strength,Summer,2022,2026,1,1,0,0,1,0,330,158,55,22.0,26,1,0,1
A000107,Leon Nakamura,Male,25,Romania,ROU,Europe,Figure Skating,Skating,Winter,2000,2012,3,0,2,0,2,0,437,175,95,31.0,25,1,0,0
A000108,Hana Tran,Female,34,Japan,JPN,Asia,Sport Climbing,Urban,Summer,2008,2008,1,1,1,1,3,0,14,169,65,22.8,25,1,0,0
A000109,Pietro Tran,Male,32,Philippines,PHI,Asia,Taekwondo,Combat,Summer,2014,2018,1,1,0,0,1,0,61,187,74,21.2,33,0,1,0
A000110,Amina Björk,Female,27,Romania,ROU,Europe,Biathlon,Biathlon,Winter,1998,2002,2,0,0,0,0,0,4,176,63,20.3,34,0,0,0
A000111,Rafael Sørensen,Male,20,Turkey,TUR,Europe/Asia,Hockey (Field),Team Ball,Summer,1992,1992,1,0,1,0,1,0,126,178,90,28.4,30,1,1,0
A000112,Rafael Petrov,Male,29,Mexico,MEX,North America,Archery,Target,Summer,2006,2014,2,1,0,1,2,0,321,174,85,28.1,25,1,0,0
A000113,Yuki Petrov,Male,27,Kazakhstan,KAZ,Asia,Nordic Combined,Skiing,Winter,2002,2002,1,0,0,1,1,0,162,171,62,21.2,37,0,0,0
A000114,Hana Björk,Female,23,Hungary,HUN,Europe,Wrestling,Combat,Summer,2004,2004,1,0,1,0,1,0,197,166,65,23.6,15,1,0,0
A000115,Diego Volkov,Male,24,Uzbekistan,UZB,Asia,Breakdancing,Urban,Summer,2006,2010,1,0,1,0,1,0,132,184,82,24.2,38,0,0,0
A000116,Priya Björk,Female,32,France,FRA,Europe,Skateboarding,Urban,Summer,2014,2014,1,0,0,1,1,0,361,167,79,28.3,32,1,0,0
A000117,Olivia Petrov,Female,20,Great Britain,GBR,Europe,Canoe/Kayak,Water,Summer,1992,1996,2,0,0,3,3,0,234,159,55,21.8,21,1,0,0
A000118,Olivia Hernández,Female,36,Italy,ITA,Europe,Cycling,Cycling,Summer,2010,2010,1,0,1,0,1,0,13,170,60,20.8,18,1,0,0
A000119,Rafael Kumar,Male,37,South Africa,RSA,Africa,Shooting,Shooting,Summer,2020,2024,2,0,1,0,1,0,70,180,88,27.2,24,1,0,1
A000120,Amina García,Female,26,Latvia,LAT,Europe,Fencing,Combat,Summer,1994,1994,1,2,0,0,2,0,12,161,71,27.4,18,1,0,0
A000121,Anita Osei,Female,26,Lithuania,LTU,Europe,Freestyle Skiing,Skiing,Winter,2014,2018,2,0,1,1,2,0,4,171,51,17.4,32,1,0,0
A000122,Oliver Ali,Male,24,North Korea,PRK,Asia,Taekwondo,Combat,Summer,2022,2022,1,0,0,0,0,0,1,168,87,30.8,23,1,0,0
A000123,Alinta Smith,Female,23,Sweden,SWE,Europe,Skeleton,Sliding,Winter,2020,2026,2,0,2,1,3,0,39,159,60,23.7,12,1,0,1
A000124,Elena Ali,Female,21,Mexico,MEX,North America,Figure Skating,Skating,Winter,2002,2002,1,0,1,0,1,0,442,177,50,16.0,35,1,0,0
A000125,Nia Tran,Female,25,Greece,GRE,Europe,Handball,Team Ball,Summer,1998,2002,1,1,1,2,4,0,355,157,70,28.4,38,1,0,0
A000126,Yuna Patel,Female,27,Slovenia,SLO,Europe,Swimming,Aquatics,Summer,2012,2012,1,0,0,0,0,0,405,162,62,23.6,36,0,0,0
A000127,Nia Nakamura,Female,33,China,CHN,Asia,Speed Skating,Skating,Winter,2008,2012,1,0,1,2,3,0,92,158,50,20.0,26,1,0,0
A000128,Emma Rossi,Female,22,Italy,ITA,Europe,Golf,Other,Summer,2010,2014,1,0,0,0,0,0,183,165,62,22.8,42,1,0,0
A000129,Théo Osei,Male,33,Morocco,MAR,Africa,Luge,Sliding,Winter,2010,2018,3,0,0,0,0,0,486,173,70,23.4,34,0,0,0
A000130,Rafael García,Male,24,Croatia,CRO,Europe,Fencing,Combat,Summer,1998,2002,1,0,0,2,2,0,486,172,69,23.3,25,1,0,0
A000131,Omar Volkov,Male,27,France,FRA,Europe,Fencing,Combat,Summer,2002,2010,2,3,0,1,4,0,321,186,64,18.5,33,1,0,0
A000132,Megan Björk,Female,25,Slovakia,SVK,Europe,Wrestling,Combat,Summer,2022,2026,1,0,0,0,0,0,81,162,77,29.3,38,0,0,0
A000133,Anita Kim,Female,20,Switzerland,SUI,Europe,Surfing,Other,Summer,2014,2018,1,0,0,0,0,0,9,165,49,18.0,22,0,0,0
A000134,Aisha Yıldız,Female,25,Italy,ITA,Europe,Sailing,Water,Summer,2016,2020,2,0,0,2,2,0,14,166,70,25.4,19,1,0,1
A000135,Emma Björk,Female,27,Mongolia,MGL,Asia,Judo,Combat,Summer,1996,1996,1,0,0,2,2,0,1,162,67,25.5,32,1,0,0
A000136,Chloe Smith,Female,24,Netherlands,NED,Europe,Short Track,Skating,Winter,2000,2008,2,1,0,0,1,0,11,155,51,21.2,36,1,0,0
A000137,Jade Shaikh,Female,33,Finland,FIN,Europe,Skateboarding,Urban,Summer,2002,2006,1,0,0,0,0,0,131,159,64,25.3,29,1,0,0
A000138,Léa Zhang,Female,24,Iran,IRI,Asia,Diving,Aquatics,Summer,2012,2012,1,0,0,0,0,0,101,164,63,23.4,35,1,0,0
A000139,Liam Zhang,Male,26,Spain,ESP,Europe,Tennis,Racquet,Summer,1996,2000,2,0,1,0,1,0,226,178,80,25.2,26,1,0,0
A000140,Elias Müller,Male,33,Slovenia,SLO,Europe,Ice Hockey,Ice Sports,Winter,2020,2024,1,0,2,0,2,0,48,179,79,24.7,35,1,0,1
A000141,Hassan Kumar,Male,22,United States,USA,North America,Tennis,Racquet,Summer,2020,2024,2,0,0,1,1,0,203,179,76,23.7,29,1,0,1
A000142,Jakub Sørensen,Male,30,Uzbekistan,UZB,Asia,Tennis,Racquet,Summer,2004,2008,2,2,0,1,3,0,28,180,77,23.8,31,1,0,0
A000143,Léa Kumar,Female,25,Czech Republic,CZE,Europe,Cycling,Cycling,Summer,2018,2026,2,1,1,0,2,0,291,178,45,14.2,34,1,0,1
A000144,Adrian Zhang,Male,23,New Zealand,NZL,Oceania,Football/Soccer,Team Ball,Summer,1992,1996,2,2,1,0,3,0,85,173,81,27.1,16,1,0,0
A000145,Liam Volkov,Male,27,Finland,FIN,Europe,Water Polo,Aquatics,Summer,1992,1992,1,1,0,1,2,0,108,181,81,24.7,11,1,0,0
A000146,Sipho Adenike,Male,32,Canada,CAN,North America,Biathlon Mixed Relay,Biathlon,Winter,2022,2022,1,0,0,0,0,0,91,177,89,28.4,33,0,1,0
A000147,Priya Sørensen,Female,25,Norway,NOR,Europe,Table Tennis,Racquet,Summer,1992,1996,2,1,0,0,1,0,387,164,66,24.5,34,1,0,0
A000148,Hana Hansen,Female,25,Dominican Republic,DOM,North America,Wrestling,Combat,Summer,2008,2008,1,0,0,0,0,0,463,150,51,22.7,40,0,0,0
A000149,Fatima Johnson,Female,28,France,FRA,Europe,Snowboard,Snowboard,Winter,2020,2020,1,0,0,0,0,0,87,155,59,24.6,29,1,0,0
A000150,Lukas Lindqvist,Male,25,Poland,POL,Europe,Hockey (Field),Team Ball,Summer,2002,2010,2,1,0,0,1,0,3,167,65,23.3,30,0,0,0
A000151,Astrid Osei,Female,24,Ethiopia,ETH,Africa,Nordic Combined,Skiing,Winter,2006,2014,3,1,3,1,5,0,405,156,70,28.8,28,1,0,0
A000152,Noah Weber,Male,31,Denmark,DEN,Europe,Diving,Aquatics,Summer,2010,2010,1,0,1,0,1,0,10,169,78,27.3,23,1,0,0
A000153,Yuki Shaikh,Male,32,France,FRA,Europe,Golf,Other,Summer,2006,2006,1,1,0,0,1,0,122,181,69,21.1,25,1,0,0
A000154,Hassan Patel,Male,17,Sweden,SWE,Europe,Badminton,Racquet,Summer,2000,2000,1,1,0,0,1,0,25,198,75,19.1,23,0,0,0
A000155,Carlos Johnson,Male,23,Thailand,THA,Asia,Boxing,Combat,Summer,2010,2022,3,0,2,0,2,0,131,182,89,26.9,20,1,0,1
A000156,Chloe Hernández,Female,26,Russia,RUS,Europe,Tennis,Racquet,Summer,2014,2014,1,0,1,2,3,0,160,156,65,26.7,20,1,0,0
A000157,Yuki Sørensen,Male,28,Georgia,GEO,Europe/Asia,Weightlifting,Strength,Summer,2016,2024,3,1,0,4,5,0,33,165,91,33.4,32,1,0,1
A000158,Jade Sørensen,Female,26,Austria,AUT,Europe,Judo,Combat,Summer,2002,2010,2,2,1,1,4,1,169,173,62,20.7,10,1,0,0
A000159,Leon Lindqvist,Male,28,Italy,ITA,Europe,Sailing,Water,Summer,1996,2000,2,2,2,0,4,0,382,175,87,28.4,22,1,0,0
A000160,Aisha Smith,Female,41,Latvia,LAT,Europe,Equestrian,Other,Summer,2004,2012,3,1,0,0,1,0,159,171,61,20.9,20,0,0,0
A000161,Liam Johnson,Male,23,Kazakhstan,KAZ,Asia,Snowboard,Snowboard,Winter,2020,2020,1,0,0,0,0,0,478,175,95,31.0,32,1,0,0
A000162,Emma Björk,Female,31,Bahrain,BRN,Asia,Canoe/Kayak,Water,Summer,1994,1998,1,1,0,0,1,0,155,164,67,24.9,30,0,0,0
A000163,Théo Ferreira,Male,24,Switzerland,SUI,Europe,Water Polo,Aquatics,Summer,2006,2006,1,0,0,0,0,0,82,180,89,27.5,27,0,0,0
A000164,Omar García,Male,23,Russia,RUS,Europe,Tennis,Racquet,Summer,2002,2002,1,0,0,0,0,0,419,178,71,22.4,27,1,0,0
A000165,Takumi Volkov,Male,25,Belarus,BLR,Europe,Rugby Sevens,Team Ball,Summer,2018,2018,1,1,2,0,3,0,445,181,62,18.9,32,1,0,0
A000166,Takumi Johnson,Male,33,Romania,ROU,Europe,Equestrian,Other,Summer,2006,2018,3,1,1,0,2,0,77,166,73,26.5,29,1,0,0
A000167,Leon Müller,Male,35,Belgium,BEL,Europe,Diving,Aquatics,Summer,2006,2014,2,1,1,0,2,0,54,179,81,25.3,22,1,0,0
A000168,Fernanda Smith,Female,30,Jamaica,JAM,North America,Biathlon Mixed Relay,Biathlon,Winter,2016,2020,1,0,0,0,0,0,241,173,63,21.0,38,0,0,0
