symbol,name,category,launch_year,consensus_mechanism,max_supply_million,ath_price_usd,ath_date,current_price_usd,current_market_cap_billion,pct_below_ath,months_of_data,avg_monthly_return_pct,avg_volatility_pct,max_drawdown_pct,positive_months_pct,avg_sentiment,avg_fear_greed,total_volume_usd_billion
PEPE,Pepe,Meme,2023,N/A,420690000000000.0,1.99e-05,2025-10,1.213e-05,3061781.82,-39.0,39,13.55,16.7,-59.1,69.2,0.296,63.3,13.5
BONK,Bonk,Meme,2022,N/A,93759285759072.0,3.993e-05,2025-07,2.889e-05,1625223.459,-27.6,51,20.85,16.0,-98.2,62.7,0.188,58.4,16.3
JUP,Jupiter,DeFi / DEX,2024,N/A,10000.0,1.79863544,2025-11,1.43918328,8.635,-20.0,27,2.37,16.0,-39.2,55.6,0.566,71.5,14.0
ENA,Ethena,Stablecoin,2024,N/A,15000.0,1.4315824,2025-10,1.10237138,9.921,-23.0,27,2.2,17.7,-43.8,55.6,0.582,66.7,13.5
RENDER,Render,AI / Compute,2020,N/A,536870912.0,14.30985195,2021-04,8.45398108,2723217.919,-40.9,75,4.29,15.3,-94.7,57.3,0.222,59.5,23.3
FET,Fetch.ai,AI / Compute,2019,PoS,1152.0,3.31582985,2025-11,2.68156505,1.853,-19.1,87,4.78,15.6,-92.9,59.8,0.227,56.7,25.8
AGIX,SingularityNET,AI / Compute,2017,N/A,2000.0,1.72110449,2021-04,1.02141289,1.226,-40.7,99,4.82,16.5,-94.2,49.5,0.1,54.9,26.8
WLD,Worldcoin,AI / Identity,2023,PoS,10000.0,11.19700685,2025-10,10.66166878,63.97,-4.8,39,7.1,16.3,-31.8,59.0,0.354,65.5,14.3
ALGO,Algorand,Smart Contract,2019,PPoS,10000.0,3.65361405,2021-02,2.5154511,15.093,-31.2,87,5.14,16.0,-94.9,60.9,0.182,56.7,26.2
FLOW,Flow,NFT Platform,2020,PoS,,49.3683043,2021-03,30.13072368,30.131,-39.0,75,4.6,16.4,-95.2,56.0,0.304,60.2,26.8
XTZ,Tezos,Smart Contract,2018,LPoS,,8.82706608,2021-02,6.42262711,6.423,-27.2,99,4.41,15.6,-94.7,52.5,0.152,55.0,27.6
HBAR,Hedera,Enterprise DLT,2019,PoS,50000.0,0.63025609,2021-04,0.4345533,13.037,-31.1,87,5.14,16.2,-95.0,58.6,0.132,56.3,26.6
GRT,The Graph,Data / Indexing,2020,N/A,10057.0,2.62581425,2025-05,2.23653308,13.496,-14.8,75,3.93,16.7,-93.4,53.3,0.279,57.9,25.7
