date,total_market_cap_billion,total_volume_billion,avg_return_pct,avg_volatility_pct,avg_sentiment,avg_fear_greed,coins_in_data,pct_coins_positive,year,month
2022-10,284292.205,11.737,1.43,17.326,-0.317,34.881,42,42.857,2022,10
2022-11,309271.688,15.088,6.637,16.34,-0.417,33.667,42,61.905,2022,11
2022-12,309314.255,9.786,2.985,16.219,-0.383,34.333,42,52.381,2022,12
2023-01,927327.304,18.789,89.505,16.119,-0.208,41.896,48,97.917,2023,1
2023-02,1030094.457,20.718,16.677,16.621,-0.174,39.708,48,77.083,2023,2
2023-03,979612.677,20.396,11.51,15.869,-0.199,41.958,48,60.417,2023,3
2023-04,1388633.694,16.117,13.629,15.871,-0.14,43.875,48,68.75,2023,4
2023-05,1366250.418,23.919,13.334,17.423,-0.054,41.917,48,75.0,2023,5
2023-06,1641492.643,19.549,8.249,17.085,-0.051,48.75,48,60.417,2023,6
2023-07,1792525.405,26.492,15.115,16.577,-0.105,46.354,48,79.167,2023,7
2023-08,1952417.923,27.446,11.986,17.138,0.045,50.021,48,68.75,2023,8
2023-09,2584858.815,25.634,10.473,14.485,0.026,53.375,48,62.5,2023,9
2023-10,2855550.022,28.383,10.312,16.04,0.112,54.104,48,77.083,2023,10
2023-11,2818614.001,44.234,7.134,16.498,0.072,51.271,48,60.417,2023,11
2023-12,3365275.903,41.07,11.295,16.006,0.146,58.646,48,72.917,2023,12
2024-01,5369753.43,51.793,40.503,16.828,0.34,66.64,50,100.0,2024,1
2024-02,6416695.271,59.811,14.919,16.92,0.361,67.44,50,72.0,2024,2
2024-03,8483779.523,59.728,15.304,16.546,0.494,71.98,50,78.0,2024,3
2024-04,8429597.413,48.989,10.87,16.49,0.542,72.74,50,66.0,2024,4
2024-05,9276611.318,81.61,-1.8,17.138,0.554,72.46,50,40.0,2024,5
2024-06,9973652.938,57.508,1.287,15.554,0.628,72.78,50,40.0,2024,6
2024-07,6426329.474,51.31,-20.276,17.422,0.398,63.28,50,14.0,2024,7
2024-08,6200337.879,44.69,1.75,16.028,0.413,65.42,50,48.0,2024,8
2024-09,6524552.026,36.871,2.395,16.702,0.462,62.8,50,54.0,2024,9
2024-10,7061903.042,46.964,3.434,17.16,0.416,69.14,50,54.0,2024,10
2024-11,6641897.787,53.311,3.482,16.476,0.501,65.68,50,44.0,2024,11
2024-12,6453765.248,81.148,3.783,15.788,0.445,65.96,50,54.0,2024,12
2025-01,7891203.132,63.519,7.773,16.58,0.597,68.04,50,64.0,2025,1
2025-02,7578429.342,55.028,7.797,15.316,0.591,71.38,50,64.0,2025,2
2025-03,8723313.272,74.441,3.064,16.938,0.612,74.12,50,52.0,2025,3
2025-04,10427946.831,69.901,5.459,16.432,0.601,73.42,50,62.0,2025,4
2025-05,9713000.183,63.331,6.918,15.868,0.538,73.44,50,66.0,2025,5
2025-06,10978492.62,62.003,1.944,16.674,0.598,78.96,50,50.0,2025,6
2025-07,12082008.863,67.561,4.408,17.328,0.612,75.2,50,60.0,2025,7
2025-08,11836994.401,55.055,3.517,16.046,0.673,74.74,50,58.0,2025,8
2025-09,11484934.756,80.735,0.924,17.17,0.648,78.12,50,52.0,2025,9
2025-10,11781000.437,63.001,-1.003,15.868,0.658,74.92,50,44.0,2025,10
2025-11,11098900.346,56.577,4.446,15.818,0.707,76.42,50,60.0,2025,11
2025-12,10976962.016,61.019,-0.378,15.95,0.706,76.4,50,44.0,2025,12
2026-01,10964510.657,48.668,-5.969,16.048,0.61,72.32,50,32.0,2026,1
2026-02,9659225.217,66.583,-1.114,16.236,0.529,72.44,50,42.0,2026,2
2026-03,9140293.022,85.571,4.009,17.398,0.555,73.5,50,56.0,2026,3
