race_id,season,circuit_id,lap_number,driver,lap_time_s,sector1_s,sector2_s,sector3_s,tyre_compound,tyre_age_laps,drs_active,speed_trap_kmh,is_pit_lap
R00113,2016,spain,21,Lewis Hamilton,78.243,21.853,29.695,26.695,Hard,21,1,325.7,0
R00113,2016,spain,26,Lewis Hamilton,75.815,21.199,28.773,25.843,Hard,1,1,323.0,0
R00113,2016,spain,31,Lewis Hamilton,76.533,21.39,29.068,26.075,Soft,6,1,311.2,0
R00113,2016,spain,36,Lewis Hamilton,77.48,21.647,29.438,26.395,Soft,11,1,311.8,0
R00113,2016,spain,41,Lewis Hamilton,77.698,21.781,29.519,26.398,Soft,16,1,323.2,0
R00113,2016,spain,46,Lewis Hamilton,78.223,21.935,29.743,26.545,Soft,21,1,333.6,0
R00113,2016,spain,51,Lewis Hamilton,75.807,21.316,28.808,25.683,Soft,1,1,337.7,0
R00113,2016,spain,56,Lewis Hamilton,76.489,21.448,29.085,25.956,Soft,6,1,334.5,0
R00113,2016,spain,61,Lewis Hamilton,77.058,21.674,29.256,26.128,Soft,11,1,329.6,0
R00113,2016,spain,66,Lewis Hamilton,77.825,21.867,29.484,26.474,Soft,16,1,342.1,0
R00253,2023,bahrain,1,Yuki Tsunoda,79.876,22.435,30.307,27.134,Soft,1,0,309.8,0
R00253,2023,bahrain,6,Yuki Tsunoda,81.087,22.659,30.783,27.645,Soft,6,1,342.6,0
R00253,2023,bahrain,11,Yuki Tsunoda,81.111,22.712,30.718,27.681,Soft,11,1,315.8,0
R00253,2023,bahrain,16,Yuki Tsunoda,81.787,22.851,31.089,27.847,Soft,16,1,355.7,0
R00253,2023,bahrain,21,Yuki Tsunoda,82.811,23.224,31.393,28.194,Soft,21,1,325.7,0
R00253,2023,bahrain,26,Yuki Tsunoda,80.306,22.549,30.434,27.323,Soft,1,1,319.3,0
R00253,2023,bahrain,31,Yuki Tsunoda,80.973,22.627,30.782,27.564,Soft,6,1,322.0,0
R00253,2023,bahrain,36,Yuki Tsunoda,81.07,22.644,30.791,27.635,Soft,11,1,316.7,0
R00253,2023,bahrain,41,Yuki Tsunoda,82.006,23.009,31.123,27.874,Soft,16,1,331.6,0
R00253,2023,bahrain,46,Yuki Tsunoda,82.683,23.031,31.452,28.2,Soft,21,1,336.6,0
R00253,2023,bahrain,51,Yuki Tsunoda,80.342,22.554,30.51,27.278,Soft,1,1,341.5,0
R00253,2023,bahrain,56,Yuki Tsunoda,80.419,22.504,30.542,27.373,Soft,6,1,333.1,0
R00093,2015,bahrain,1,Lewis Hamilton,81.622,22.811,31.074,27.737,Hard,1,0,327.1,0
R00093,2015,bahrain,6,Lewis Hamilton,82.177,22.955,31.282,27.94,Hard,6,1,341.1,0
R00093,2015,bahrain,11,Lewis Hamilton,82.272,23.057,31.331,27.884,Hard,11,1,327.3,0
R00093,2015,bahrain,16,Lewis Hamilton,83.408,23.352,31.704,28.352,Hard,16,1,335.6,0
R00093,2015,bahrain,21,Lewis Hamilton,84.241,23.657,32.024,28.56,Hard,21,1,343.0,0
R00093,2015,bahrain,26,Lewis Hamilton,81.934,22.946,31.13,27.858,Soft,1,1,339.3,0
R00093,2015,bahrain,31,Lewis Hamilton,82.078,22.932,31.17,27.976,Soft,6,1,336.8,0
R00093,2015,bahrain,36,Lewis Hamilton,82.649,23.135,31.395,28.119,Soft,11,1,323.6,0
R00093,2015,bahrain,41,Lewis Hamilton,83.403,23.38,31.737,28.286,Soft,16,1,341.9,0
R00093,2015,bahrain,46,Lewis Hamilton,84.012,23.545,31.944,28.523,Soft,21,1,339.2,0
R00093,2015,bahrain,51,Lewis Hamilton,81.92,23.014,31.158,27.748,Soft,1,1,354.3,0
R00093,2015,bahrain,56,Lewis Hamilton,81.968,22.935,31.144,27.889,Soft,6,1,314.9,0
R00268,2023,suzuka,1,Fernando Alonso,81.703,22.865,31.022,27.816,Soft,1,0,314.6,0
R00268,2023,suzuka,6,Fernando Alonso,82.09,22.903,31.218,27.969,Soft,6,1,340.6,0
R00268,2023,suzuka,11,Fernando Alonso,82.528,23.076,31.353,28.099,Soft,11,1,339.9,0
R00268,2023,suzuka,16,Fernando Alonso,83.698,23.535,31.864,28.299,Soft,16,1,334.8,0
R00268,2023,suzuka,21,Fernando Alonso,83.622,23.362,31.775,28.485,Soft,21,1,345.1,0
R00268,2023,suzuka,26,Fernando Alonso,81.552,22.847,31.014,27.691,Soft,1,1,322.1,0
R00268,2023,suzuka,31,Fernando Alonso,82.174,23.049,31.25,27.875,Soft,6,1,334.3,0
R00268,2023,suzuka,36,Fernando Alonso,82.937,23.307,31.497,28.133,Soft,11,1,335.1,0
R00268,2023,suzuka,41,Fernando Alonso,83.232,23.249,31.526,28.457,Soft,16,1,330.3,0
R00268,2023,suzuka,46,Fernando Alonso,83.784,23.452,31.743,28.589,Soft,21,1,319.3,0
R00268,2023,suzuka,51,Fernando Alonso,81.516,22.758,30.895,27.863,Soft,1,1,321.3,0
R00289,2024,zandvoort,1,Lando Norris,74.228,20.725,28.163,25.34,Hard,1,0,325.2,0
R00289,2024,zandvoort,6,Lando Norris,74.839,20.922,28.425,25.492,Hard,6,1,313.3,0
R00289,2024,zandvoort,11,Lando Norris,75.468,21.109,28.656,25.703,Hard,11,1,347.9,0
R00289,2024,zandvoort,16,Lando Norris,75.93,21.192,28.888,25.85,Hard,16,1,338.5,0
R00289,2024,zandvoort,21,Lando Norris,76.313,21.415,28.982,25.916,Hard,21,1,336.9,0
R00289,2024,zandvoort,26,Lando Norris,74.197,20.785,28.284,25.128,Hard,1,1,326.3,0
R00289,2024,zandvoort,31,Lando Norris,74.803,20.907,28.416,25.48,Hard,6,1,338.8,0
R00289,2024,zandvoort,36,Lando Norris,75.344,21.144,28.632,25.568,Hard,11,1,333.4,0
R00289,2024,zandvoort,41,Lando Norris,76.112,21.357,28.907,25.848,Hard,16,1,335.4,0
R00289,2024,zandvoort,46,Lando Norris,76.486,21.468,29.097,25.921,Hard,21,1,337.2,1
R00289,2024,zandvoort,51,Lando Norris,74.232,20.777,28.189,25.266,Hard,1,1,325.9,0
R00289,2024,zandvoort,56,Lando Norris,74.834,20.977,28.493,25.364,Hard,6,1,333.7,0
R00289,2024,zandvoort,61,Lando Norris,75.367,21.123,28.652,25.592,Hard,11,1,320.7,0
R00289,2024,zandvoort,66,Lando Norris,76.126,21.357,28.979,25.79,Hard,16,1,320.5,0
R00289,2024,zandvoort,71,Lando Norris,76.282,21.333,28.919,26.03,Hard,21,1,328.8,0
R00068,2013,singapore,1,Max Verstappen,85.346,23.911,32.485,28.95,Hard,1,0,337.1,0
R00068,2013,singapore,6,Max Verstappen,86.201,24.14,32.799,29.262,Hard,6,1,342.2,0
R00068,2013,singapore,11,Max Verstappen,86.602,24.15,32.922,29.53,Hard,11,1,331.4,0
R00068,2013,singapore,16,Max Verstappen,87.358,24.516,33.197,29.645,Hard,16,1,317.7,0
R00068,2013,singapore,21,Max Verstappen,87.83,24.583,33.307,29.94,Hard,21,1,352.9,1
R00068,2013,singapore,26,Max Verstappen,85.537,23.918,32.596,29.023,Hard,1,1,328.8,0
R00068,2013,singapore,31,Max Verstappen,85.922,24.021,32.579,29.322,Hard,6,1,321.0,0
R00068,2013,singapore,36,Max Verstappen,86.703,24.291,32.923,29.489,Hard,11,1,314.1,0
R00068,2013,singapore,41,Max Verstappen,87.318,24.408,33.1,29.81,Hard,16,1,331.1,0
R00068,2013,singapore,46,Max Verstappen,87.632,24.608,33.29,29.734,Hard,21,1,344.2,0
R00068,2013,singapore,51,Max Verstappen,85.422,23.898,32.527,28.997,Hard,1,1,327.0,0
R00068,2013,singapore,56,Max Verstappen,86.246,24.195,32.761,29.29,Hard,6,1,328.7,0
R00068,2013,singapore,61,Max Verstappen,86.799,24.401,33.025,29.373,Hard,11,1,328.2,0
R00328,2026,imola,1,Max Verstappen,73.449,20.523,27.9,25.026,Intermediate,1,0,302.2,0
R00328,2026,imola,6,Max Verstappen,74.156,20.659,28.123,25.374,Intermediate,6,0,319.3,0
R00328,2026,imola,11,Max Verstappen,74.435,20.854,28.209,25.372,Intermediate,11,0,336.5,0
R00328,2026,imola,16,Max Verstappen,75.102,20.986,28.458,25.658,Intermediate,16,0,332.0,0
R00328,2026,imola,21,Max Verstappen,75.982,21.309,28.894,25.779,Intermediate,21,0,350.0,0
R00328,2026,imola,26,Max Verstappen,73.822,20.656,27.971,25.195,Soft,1,0,343.7,0
R00328,2026,imola,31,Max Verstappen,74.18,20.755,28.153,25.272,Soft,6,0,323.3,0
R00328,2026,imola,36,Max Verstappen,74.455,20.834,28.201,25.42,Soft,11,0,318.8,0
R00328,2026,imola,41,Max Verstappen,75.281,21.038,28.583,25.66,Soft,16,0,333.8,0
R00328,2026,imola,46,Max Verstappen,75.605,21.196,28.684,25.725,Soft,21,0,352.6,0
R00328,2026,imola,51,Max Verstappen,73.308,20.558,27.852,24.898,Soft,1,0,348.7,0
R00328,2026,imola,56,Max Verstappen,74.532,20.778,28.282,25.472,Soft,6,0,315.2,0
R00328,2026,imola,61,Max Verstappen,74.6,20.871,28.333,25.396,Soft,11,0,326.7,0
R00053,2012,brazil,1,Charles Leclerc,78.221,21.975,29.644,26.602,Medium,1,0,349.1,0
R00053,2012,brazil,6,Charles Leclerc,78.637,22.019,29.828,26.79,Medium,6,1,308.5,0
R00053,2012,brazil,11,Charles Leclerc,78.965,22.106,29.94,26.919,Medium,11,1,336.2,0
R00053,2012,brazil,16,Charles Leclerc,79.443,22.202,30.176,27.065,Medium,16,1,356.7,0
R00053,2012,brazil,21,Charles Leclerc,79.774,22.39,30.34,27.044,Medium,21,1,341.1,0
R00053,2012,brazil,26,Charles Leclerc,77.802,21.731,29.519,26.552,Medium,1,1,315.1,0
R00053,2012,brazil,31,Charles Leclerc,78.273,21.888,29.805,26.58,Hard,6,1,337.9,0
R00053,2012,brazil,36,Charles Leclerc,78.83,22.073,30.118,26.639,Hard,11,1,318.1,0
R00053,2012,brazil,41,Charles Leclerc,79.408,22.259,30.101,27.048,Hard,16,1,310.9,0
R00053,2012,brazil,46,Charles Leclerc,80.079,22.405,30.425,27.249,Hard,21,1,326.1,1
R00053,2012,brazil,51,Charles Leclerc,78.092,21.868,29.562,26.662,Hard,1,1,326.6,0
R00053,2012,brazil,56,Charles Leclerc,78.295,21.854,29.759,26.682,Hard,6,1,312.3,0
R00053,2012,brazil,61,Charles Leclerc,78.739,22.093,29.958,26.688,Hard,11,1,329.8,0
R00053,2012,brazil,66,Charles Leclerc,79.471,22.211,30.192,27.068,Hard,16,1,322.2,0
R00053,2012,brazil,71,Charles Leclerc,79.989,22.325,30.344,27.32,Hard,21,1,335.0,0
R00123,2016,bahrain,1,Lewis Hamilton,72.415,20.206,27.487,24.722,Soft,1,0,334.3,0
R00123,2016,bahrain,6,Lewis Hamilton,72.863,20.375,27.661,24.827,Soft,6,1,310.8,0
R00123,2016,bahrain,11,Lewis Hamilton,73.707,20.576,27.982,25.149,Soft,11,1,346.4,0
R00123,2016,bahrain,16,Lewis Hamilton,73.997,20.726,28.173,25.098,Soft,16,1,345.9,0
R00123,2016,bahrain,21,Lewis Hamilton,74.507,20.934,28.331,25.242,Soft,21,1,305.4,0
R00123,2016,bahrain,26,Lewis Hamilton,72.082,20.203,27.348,24.531,Hard,1,1,319.2,0
R00123,2016,bahrain,31,Lewis Hamilton,72.933,20.366,27.707,24.86,Hard,6,1,339.3,0
R00123,2016,bahrain,36,Lewis Hamilton,73.566,20.629,27.907,25.03,Hard,11,1,324.3,0
R00123,2016,bahrain,41,Lewis Hamilton,74.043,20.74,28.127,25.176,Hard,16,1,321.4,0
R00123,2016,bahrain,46,Lewis Hamilton,74.533,20.86,28.312,25.361,Hard,21,1,338.2,0
R00123,2016,bahrain,51,Lewis Hamilton,72.241,20.198,27.472,24.571,Hard,1,1,333.3,0
R00123,2016,bahrain,56,Lewis Hamilton,73.026,20.546,27.744,24.736,Hard,6,1,336.2,0
R00252,2022,abu_dhabi,1,Max Verstappen,81.364,22.773,30.937,27.654,Soft,1,0,321.6,0
R00252,2022,abu_dhabi,6,Max Verstappen,82.307,23.09,31.319,27.898,Soft,6,1,323.7,0
R00252,2022,abu_dhabi,11,Max Verstappen,82.751,23.185,31.492,28.074,Soft,11,1,328.9,0
R00252,2022,abu_dhabi,16,Max Verstappen,83.255,23.359,31.68,28.216,Soft,16,1,326.7,0
R00252,2022,abu_dhabi,21,Max Verstappen,84.19,23.575,32.022,28.593,Soft,21,1,316.8,0
R00252,2022,abu_dhabi,26,Max Verstappen,81.533,22.861,31.002,27.67,Medium,1,1,335.6,0
R00252,2022,abu_dhabi,31,Max Verstappen,82.421,22.993,31.35,28.078,Medium,6,1,337.3,0
R00252,2022,abu_dhabi,36,Max Verstappen,82.67,23.249,31.479,27.942,Medium,11,1,332.2,0
R00252,2022,abu_dhabi,41,Max Verstappen,83.391,23.429,31.696,28.266,Medium,16,1,335.9,0
R00252,2022,abu_dhabi,46,Max Verstappen,84.122,23.512,31.986,28.624,Medium,21,1,336.6,0
R00252,2022,abu_dhabi,51,Max Verstappen,81.308,22.692,30.768,27.848,Medium,1,1,334.0,0
R00252,2022,abu_dhabi,56,Max Verstappen,82.174,23.027,31.273,27.874,Medium,6,1,322.4,0
R00269,2023,qatar,1,Lewis Hamilton,76.953,21.603,29.241,26.109,Hard,1,0,346.4,0
R00269,2023,qatar,6,Lewis Hamilton,76.962,21.5,29.239,26.223,Hard,6,1,349.8,0
R00269,2023,qatar,11,Lewis Hamilton,77.98,21.787,29.561,26.632,Hard,11,1,345.8,0
R00269,2023,qatar,16,Lewis Hamilton,78.446,22.015,29.815,26.616,Hard,16,1,313.3,0
R00269,2023,qatar,21,Lewis Hamilton,78.887,22.118,30.008,26.761,Hard,21,1,335.2,0
R00269,2023,qatar,26,Lewis Hamilton,76.808,21.575,29.198,26.035,Medium,1,1,324.1,0
R00269,2023,qatar,31,Lewis Hamilton,77.36,21.672,29.414,26.274,Medium,6,1,324.7,0
R00269,2023,qatar,36,Lewis Hamilton,77.508,21.766,29.417,26.325,Medium,11,1,331.1,0
R00269,2023,qatar,41,Lewis Hamilton,78.337,21.965,29.755,26.617,Medium,16,1,332.0,0
R00269,2023,qatar,46,Lewis Hamilton,79.08,22.182,30.115,26.783,Medium,21,1,324.5,0
R00269,2023,qatar,51,Lewis Hamilton,76.573,21.475,29.121,25.977,Medium,1,1,333.1,0
R00269,2023,qatar,56,Lewis Hamilton,77.005,21.565,29.301,26.139,Medium,6,1,315.2,0
R00075,2014,bahrain,1,Lewis Hamilton,79.003,22.089,30.095,26.819,Soft,1,0,337.7,0
R00075,2014,bahrain,6,Lewis Hamilton,79.656,22.303,30.26,27.093,Soft,6,1,326.9,0
R00075,2014,bahrain,11,Lewis Hamilton,79.897,22.378,30.364,27.155,Soft,11,1,347.5,0
R00075,2014,bahrain,16,Lewis Hamilton,80.858,22.618,30.714,27.526,Soft,16,1,318.2,0
R00075,2014,bahrain,21,Lewis Hamilton,81.414,22.835,30.957,27.622,Soft,21,1,346.7,0
R00075,2014,bahrain,26,Lewis Hamilton,78.996,22.186,30.054,26.756,Soft,1,1,328.1,0
R00075,2014,bahrain,31,Lewis Hamilton,79.336,22.137,30.229,26.97,Soft,6,1,321.1,0
R00075,2014,bahrain,36,Lewis Hamilton,80.073,22.394,30.491,27.188,Soft,11,1,337.4,0
R00075,2014,bahrain,41,Lewis Hamilton,80.66,22.67,30.673,27.317,Soft,16,1,317.8,0
R00075,2014,bahrain,46,Lewis Hamilton,81.672,22.938,30.939,27.795,Soft,21,1,328.0,0
R00075,2014,bahrain,51,Lewis Hamilton,78.734,22.025,29.937,26.772,Soft,1,1,326.7,0
R00075,2014,bahrain,56,Lewis Hamilton,79.381,22.194,30.118,27.069,Soft,6,1,343.2,0
R00105,2015,bahrain,1,Lewis Hamilton,74.667,20.967,28.39,25.31,Soft,1,0,330.5,0
R00105,2015,bahrain,6,Lewis Hamilton,75.213,21.104,28.584,25.525,Soft,6,1,314.5,0
R00105,2015,bahrain,11,Lewis Hamilton,75.703,21.187,28.777,25.739,Soft,11,1,337.6,0
R00105,2015,bahrain,16,Lewis Hamilton,76.308,21.335,29.012,25.961,Soft,16,1,348.6,0
R00105,2015,bahrain,21,Lewis Hamilton,76.595,21.46,29.073,26.062,Soft,21,1,334.2,0
R00105,2015,bahrain,26,Lewis Hamilton,74.717,20.882,28.385,25.45,Hard,1,1,314.9,0
R00105,2015,bahrain,31,Lewis Hamilton,75.137,21.058,28.632,25.447,Hard,6,1,329.2,0
R00105,2015,bahrain,36,Lewis Hamilton,75.494,21.032,28.664,25.798,Hard,11,1,325.4,0
R00105,2015,bahrain,41,Lewis Hamilton,76.265,21.359,28.936,25.97,Hard,16,1,341.8,0
R00105,2015,bahrain,46,Lewis Hamilton,77.075,21.549,29.284,26.242,Hard,21,1,309.8,0
R00105,2015,bahrain,51,Lewis Hamilton,74.802,20.944,28.439,25.419,Hard,1,1,325.5,0
R00105,2015,bahrain,56,Lewis Hamilton,75.385,21.094,28.667,25.624,Hard,6,1,321.0,0
R00143,2017,brazil,1,Charles Leclerc,80.16,22.507,30.377,27.276,Medium,1,0,303.1,0
R00143,2017,brazil,6,Charles Leclerc,81.063,22.766,30.83,27.467,Medium,6,1,307.2,0
R00143,2017,brazil,11,Charles Leclerc,81.541,22.832,31.044,27.665,Medium,11,1,337.9,0
R00143,2017,brazil,16,Charles Leclerc,82.255,23.093,31.309,27.853,Medium,16,1,338.2,0
R00143,2017,brazil,21,Charles Leclerc,83.001,23.274,31.537,28.19,Medium,21,1,321.1,0
R00143,2017,brazil,26,Charles Leclerc,80.592,22.429,30.704,27.459,Medium,1,1,330.5,0
R00143,2017,brazil,31,Charles Leclerc,80.677,22.572,30.7,27.405,Hard,6,1,332.3,0
R00143,2017,brazil,36,Charles Leclerc,81.648,22.841,30.97,27.837,Hard,11,1,321.9,0
R00143,2017,brazil,41,Charles Leclerc,82.263,23.012,31.276,27.975,Hard,16,1,323.8,0
R00143,2017,brazil,46,Charles Leclerc,82.57,23.086,31.393,28.091,Hard,21,1,322.2,1
R00143,2017,brazil,51,Charles Leclerc,80.664,22.587,30.629,27.448,Hard,1,1,324.5,0
R00143,2017,brazil,56,Charles Leclerc,80.885,22.693,30.765,27.427,Hard,6,1,342.1,0
R00143,2017,brazil,61,Charles Leclerc,81.55,22.885,30.979,27.686,Hard,11,1,321.6,0
R00143,2017,brazil,66,Charles Leclerc,82.234,23.094,31.241,27.899,Hard,16,1,321.3,0
R00143,2017,brazil,71,Charles Leclerc,83.0,23.238,31.565,28.197,Hard,21,1,345.6,0
R00303,2025,shanghai,1,Lando Norris,84.49,23.648,32.158,28.684,Intermediate,1,0,326.4,0
R00303,2025,shanghai,6,Lando Norris,85.083,23.875,32.236,28.972,Intermediate,6,0,328.2,0
R00303,2025,shanghai,11,Lando Norris,85.684,24.001,32.544,29.139,Intermediate,11,0,326.1,0
R00303,2025,shanghai,16,Lando Norris,86.195,24.18,32.826,29.189,Intermediate,16,0,327.6,0
R00303,2025,shanghai,21,Lando Norris,87.076,24.361,33.081,29.634,Intermediate,21,0,336.4,0
R00303,2025,shanghai,26,Lando Norris,84.378,23.653,32.068,28.657,Hard,1,0,306.2,0
R00303,2025,shanghai,31,Lando Norris,84.732,23.777,32.187,28.768,Hard,6,0,331.4,0
R00303,2025,shanghai,36,Lando Norris,85.856,24.037,32.638,29.181,Hard,11,0,331.3,1
R00303,2025,shanghai,41,Lando Norris,85.993,24.124,32.688,29.181,Hard,16,0,319.9,0
R00303,2025,shanghai,46,Lando Norris,86.667,24.23,32.971,29.466,Hard,21,0,285.7,0
R00303,2025,shanghai,51,Lando Norris,84.472,23.595,32.095,28.782,Hard,1,0,341.0,0
R00303,2025,shanghai,56,Lando Norris,84.848,23.807,32.246,28.795,Hard,6,0,337.4,0
R00291,2024,baku,1,Charles Leclerc,77.043,21.516,29.273,26.254,Intermediate,1,0,330.3,0
R00291,2024,baku,6,Charles Leclerc,77.81,21.795,29.521,26.494,Intermediate,6,0,295.3,0
R00291,2024,baku,11,Charles Leclerc,78.328,21.911,29.786,26.631,Intermediate,11,0,329.1,0
R00291,2024,baku,16,Charles Leclerc,78.854,22.12,29.984,26.75,Intermediate,16,0,340.8,0
R00291,2024,baku,21,Charles Leclerc,79.304,22.166,30.156,26.982,Medium,21,0,346.4,0
R00291,2024,baku,26,Charles Leclerc,76.985,21.519,29.21,26.256,Medium,1,0,339.0,0
R00291,2024,baku,31,Charles Leclerc,77.601,21.742,29.472,26.387,Medium,6,0,316.2,0
R00291,2024,baku,36,Charles Leclerc,78.058,21.888,29.513,26.657,Medium,11,0,333.3,0
R00291,2024,baku,41,Charles Leclerc,78.597,22.014,29.874,26.709,Medium,16,0,320.4,0
R00291,2024,baku,46,Charles Leclerc,79.52,22.248,30.2,27.072,Medium,21,0,321.5,0
R00291,2024,baku,51,Charles Leclerc,76.997,21.53,29.18,26.287,Medium,1,0,318.8,0
R00304,2025,miami,1,Max Verstappen,78.437,21.945,29.831,26.661,Intermediate,1,0,322.6,0
R00304,2025,miami,6,Max Verstappen,78.671,21.982,29.878,26.811,Intermediate,6,0,329.3,0
R00304,2025,miami,11,Max Verstappen,79.46,22.225,30.142,27.093,Intermediate,11,0,327.1,0
R00304,2025,miami,16,Max Verstappen,79.866,22.365,30.357,27.144,Intermediate,16,0,344.4,0
R00304,2025,miami,21,Max Verstappen,80.607,22.564,30.574,27.469,Intermediate,21,0,328.3,0
R00304,2025,miami,26,Max Verstappen,78.052,21.879,29.556,26.617,Hard,1,0,326.5,0
R00304,2025,miami,31,Max Verstappen,78.91,22.076,30.014,26.82,Hard,6,0,320.1,0
R00304,2025,miami,36,Max Verstappen,79.425,22.198,30.195,27.032,Hard,11,0,326.6,0
R00304,2025,miami,41,Max Verstappen,79.812,22.388,30.255,27.169,Hard,16,0,318.2,0
R00304,2025,miami,46,Max Verstappen,80.426,22.491,30.575,27.36,Hard,21,0,334.6,0
R00304,2025,miami,51,Max Verstappen,78.219,21.862,29.793,26.564,Hard,1,0,324.4,0
R00304,2025,miami,56,Max Verstappen,78.762,22.028,29.885,26.849,Hard,6,0,328.0,0
R00167,2019,jeddah,1,Lewis Hamilton,78.253,21.823,29.703,26.727,Medium,1,0,321.2,0
R00167,2019,jeddah,6,Lewis Hamilton,78.93,21.977,29.939,27.014,Medium,6,1,329.9,0
R00167,2019,jeddah,11,Lewis Hamilton,79.551,22.213,30.229,27.109,Medium,11,1,335.3,0
R00167,2019,jeddah,16,Lewis Hamilton,79.917,22.339,30.32,27.258,Medium,16,1,322.2,0
R00167,2019,jeddah,21,Lewis Hamilton,80.704,22.578,30.693,27.433,Medium,21,1,339.1,0
R00167,2019,jeddah,26,Lewis Hamilton,78.15,21.825,29.735,26.59,Medium,1,1,322.4,0
R00167,2019,jeddah,31,Lewis Hamilton,78.781,22.144,29.964,26.673,Medium,6,1,351.7,0
R00167,2019,jeddah,36,Lewis Hamilton,79.508,22.28,30.259,26.969,Medium,11,1,322.2,0
R00167,2019,jeddah,41,Lewis Hamilton,80.013,22.379,30.367,27.267,Medium,16,1,318.6,0
R00167,2019,jeddah,46,Lewis Hamilton,80.829,22.534,30.767,27.528,Medium,21,1,326.8,0
R00254,2023,jeddah,1,Lewis Hamilton,83.718,23.441,31.786,28.491,Hard,1,0,345.7,0
R00254,2023,jeddah,6,Lewis Hamilton,84.74,23.729,32.169,28.842,Hard,6,1,323.7,0
R00254,2023,jeddah,11,Lewis Hamilton,85.159,23.788,32.415,28.956,Hard,11,1,296.6,0
R00254,2023,jeddah,16,Lewis Hamilton,85.907,24.119,32.613,29.175,Hard,16,1,309.6,0
R00254,2023,jeddah,21,Lewis Hamilton,86.532,24.247,32.877,29.408,Soft,21,1,339.7,0
R00254,2023,jeddah,26,Lewis Hamilton,84.139,23.546,31.995,28.598,Soft,1,1,348.5,0
R00254,2023,jeddah,31,Lewis Hamilton,84.683,23.7,32.163,28.82,Soft,6,1,329.9,0
R00254,2023,jeddah,36,Lewis Hamilton,85.111,23.824,32.28,29.007,Soft,11,1,338.9,0
R00254,2023,jeddah,41,Lewis Hamilton,85.901,23.965,32.669,29.267,Soft,16,1,320.9,0
R00254,2023,jeddah,46,Lewis Hamilton,86.903,24.356,32.963,29.584,Soft,21,1,339.0,0
R00279,2024,shanghai,1,Lando Norris,90.004,25.233,34.161,30.61,Intermediate,1,0,361.6,0
R00279,2024,shanghai,6,Lando Norris,90.394,25.269,34.426,30.699,Intermediate,6,0,343.1,0
R00279,2024,shanghai,11,Lando Norris,91.669,25.71,34.788,31.171,Intermediate,11,0,336.9,0
R00279,2024,shanghai,16,Lando Norris,92.163,25.918,35.046,31.199,Intermediate,16,0,330.7,0
