race_id,season,round,circuit_id,qualifying_position,driver,team,q3_lap_time_s,q2_lap_time_s,q1_lap_time_s,gap_to_pole_s,tyre_compound,sector1_s,sector2_s,sector3_s,top_speed_kmh
R00005,2010,5,spain,7,Driver_7,Team_7,77.61,77.80344988953254,78.03185870405541,1.825,Medium,21.667,29.639,26.304,315.9
R00005,2010,5,spain,8,Driver_8,Team_8,78.015,78.167356396891,78.61241533875595,2.388,Soft,21.932,29.53,26.553,301.6
R00005,2010,5,spain,9,Driver_9,Team_9,78.306,78.44149740904935,79.01290775923786,2.745,Medium,21.919,29.857,26.53,322.4
R00005,2010,5,spain,10,Driver_10,Team_10,79.172,79.62448521559674,79.93778205761747,0.977,Medium,22.115,30.173,26.884,348.1
R00006,2010,6,monaco,1,Charles Leclerc,Ferrari,75.386,75.84490253320811,75.80039478351537,0.0,Soft,21.238,28.746,25.402,349.2
R00006,2010,6,monaco,2,Driver_2,Team_2,75.178,75.36023459737932,76.07256461186932,0.591,Medium,20.966,28.559,25.653,312.8
R00006,2010,6,monaco,3,Driver_3,Team_3,76.222,76.4018664849943,76.99970772734966,0.2,Medium,21.461,28.916,25.845,298.7
R00006,2010,6,monaco,4,Driver_4,Team_4,76.662,76.97093257389712,77.39549951509687,1.327,Soft,21.477,29.348,25.837,306.9
R00006,2010,6,monaco,5,Driver_5,Team_5,76.716,77.08507321214884,77.38353517170732,0.916,Soft,21.519,29.093,26.104,342.7
R00006,2010,6,monaco,6,Driver_6,Team_6,77.972,78.39393388429376,78.45280433242479,2.668,Medium,21.845,29.64,26.487,343.9
R00006,2010,6,monaco,7,Driver_7,Team_7,77.871,78.1054342596265,78.50628219161756,2.697,Soft,21.827,29.678,26.366,338.8
R00006,2010,6,monaco,8,Driver_8,Team_8,78.33,78.45653486142136,79.05233261286745,4.073,Soft,22.012,29.734,26.584,354.0
R00006,2010,6,monaco,9,Driver_9,Team_9,78.673,78.79079587400115,79.55120962147942,2.844,Soft,21.932,29.78,26.961,353.4
R00006,2010,6,monaco,10,Driver_10,Team_10,79.153,79.40958504216943,79.85212864943918,2.169,Medium,22.143,30.101,26.909,325.0
R00007,2010,7,canada,1,Max Verstappen,Red Bull Racing,75.244,75.6789600498204,76.14724499953662,0.0,Soft,21.034,28.454,25.756,314.6
R00007,2010,7,canada,2,Driver_2,Team_2,75.523,75.87812484280954,75.86617957572804,0.403,Soft,21.167,28.719,25.637,309.7
R00007,2010,7,canada,3,Driver_3,Team_3,76.393,76.59003894763799,77.33597888825041,0.611,Medium,21.347,29.231,25.815,310.0
R00007,2010,7,canada,4,Driver_4,Team_4,76.828,77.31080601974521,77.3625003759349,0.331,Soft,21.418,29.13,26.28,329.5
R00007,2010,7,canada,5,Driver_5,Team_5,76.663,77.03350651349221,77.52836337745642,2.299,Soft,21.387,29.128,26.148,308.3
R00007,2010,7,canada,6,Driver_6,Team_6,77.293,77.67614438842804,77.84040476938598,1.648,Soft,21.547,29.344,26.402,325.0
R00007,2010,7,canada,7,Driver_7,Team_7,77.862,78.08910882871861,78.84751760740097,2.436,Soft,21.894,29.501,26.467,323.3
R00007,2010,7,canada,8,Driver_8,Team_8,78.084,78.37756569997393,78.9193611228795,0.733,Medium,22.075,29.792,26.217,337.6
R00007,2010,7,canada,9,Driver_9,Team_9,78.517,78.86113475282819,79.090355862387,2.19,Medium,21.918,29.73,26.869,334.1
R00007,2010,7,canada,10,Driver_10,Team_10,78.99,79.23250935173024,79.86795075057121,4.368,Medium,22.135,30.058,26.797,325.5
R00008,2010,8,bahrain,1,Max Verstappen,Red Bull Racing,75.205,75.38836322147793,76.1081547928976,0.0,Soft,21.176,28.586,25.443,320.5
R00008,2010,8,bahrain,2,Driver_2,Team_2,75.741,76.18857748505812,76.40365076410806,0.295,Medium,21.121,28.774,25.846,349.3
R00008,2010,8,bahrain,3,Driver_3,Team_3,76.853,77.01492955774596,77.27554165388666,0.399,Soft,21.593,29.114,26.146,342.6
R00008,2010,8,bahrain,4,Driver_4,Team_4,76.679,76.88990355946052,76.98296914085991,1.171,Soft,21.27,29.215,26.194,332.0
R00008,2010,8,bahrain,5,Driver_5,Team_5,77.15,77.48193044762604,77.96188576121224,0.919,Soft,21.631,29.203,26.316,351.2
R00008,2010,8,bahrain,6,Driver_6,Team_6,77.643,78.14278022304387,78.3324241146388,0.445,Soft,21.758,29.292,26.593,331.0
R00008,2010,8,bahrain,7,Driver_7,Team_7,78.309,78.64928348742313,78.62219691234979,2.947,Soft,22.025,29.803,26.481,324.4
R00008,2010,8,bahrain,8,Driver_8,Team_8,78.317,78.52945379606527,79.20519947855907,3.058,Medium,22.038,29.725,26.554,326.9
R00008,2010,8,bahrain,9,Driver_9,Team_9,78.381,78.81982744919225,79.26194484370541,3.442,Medium,21.86,29.598,26.923,319.4
R00008,2010,8,bahrain,10,Driver_10,Team_10,79.904,80.32119264792719,80.76903008190783,4.807,Medium,22.465,30.384,27.055,301.6
R00009,2010,9,bahrain,1,Lando Norris,McLaren,74.882,75.0569244352503,75.31711469005643,0.0,Soft,20.827,28.418,25.637,301.1
R00009,2010,9,bahrain,2,Driver_2,Team_2,75.631,76.04678150660217,75.97192319804446,0.243,Medium,21.171,28.812,25.648,294.8
R00009,2010,9,bahrain,3,Driver_3,Team_3,76.414,76.85058701562544,76.83030308224257,1.035,Soft,21.335,28.901,26.178,320.6
R00009,2010,9,bahrain,4,Driver_4,Team_4,76.795,77.1568452497999,77.26033418994521,1.507,Medium,21.5,29.179,26.116,305.5
R00009,2010,9,bahrain,5,Driver_5,Team_5,77.361,77.72848470644387,78.31673952048814,2.32,Soft,21.563,29.487,26.311,335.3
R00009,2010,9,bahrain,6,Driver_6,Team_6,77.347,77.72910597872547,77.93701163317886,0.464,Soft,21.721,29.394,26.232,312.9
R00009,2010,9,bahrain,7,Driver_7,Team_7,77.748,78.16133567099783,78.67525005847328,0.692,Soft,21.669,29.64,26.439,345.4
R00009,2010,9,bahrain,8,Driver_8,Team_8,78.705,79.15217035275344,79.58199965737701,2.616,Medium,22.124,29.824,26.757,311.2
R00009,2010,9,bahrain,9,Driver_9,Team_9,79.15,79.54446821265334,79.77643272655051,4.558,Medium,22.328,29.899,26.923,307.2
R00009,2010,9,bahrain,10,Driver_10,Team_10,79.465,79.74300267405908,80.22620221855627,1.537,Medium,22.314,30.174,26.977,331.0
R00011,2010,11,hungary,1,Max Verstappen,Red Bull Racing,74.794,74.93212412736723,75.43885212007815,0.0,Soft,20.975,28.397,25.422,299.6
R00011,2010,11,hungary,2,Driver_2,Team_2,75.349,75.77886504649548,75.88956986742032,0.45,Medium,21.121,28.745,25.483,325.3
R00011,2010,11,hungary,3,Driver_3,Team_3,75.873,75.99973121015556,76.84505703198211,0.839,Medium,21.165,28.919,25.789,306.2
R00011,2010,11,hungary,4,Driver_4,Team_4,76.966,77.19947251870165,77.30407836414722,0.549,Soft,21.835,29.342,25.789,339.6
R00011,2010,11,hungary,5,Driver_5,Team_5,76.989,77.35613197493993,77.56642754650817,0.423,Soft,21.6,29.362,26.027,353.9
R00011,2010,11,hungary,6,Driver_6,Team_6,77.377,77.84266922608927,78.14464466796598,2.651,Medium,21.89,29.435,26.052,337.4
R00011,2010,11,hungary,7,Driver_7,Team_7,77.414,77.68236949915679,78.24920770535726,3.566,Soft,21.625,29.276,26.513,334.5
R00011,2010,11,hungary,8,Driver_8,Team_8,78.257,78.56100318108206,78.78071992883483,1.349,Medium,21.91,29.736,26.611,337.4
R00011,2010,11,hungary,9,Driver_9,Team_9,78.781,78.88213819875119,79.53668789998792,3.566,Soft,22.009,29.92,26.852,308.9
R00011,2010,11,hungary,10,Driver_10,Team_10,78.789,79.04259833278658,79.14415578765185,0.768,Soft,21.939,30.012,26.838,321.9
R00012,2010,12,bahrain,1,Max Verstappen,Red Bull Racing,74.95,75.27403468910113,75.79679264078254,0.0,Medium,21.054,28.449,25.447,311.8
R00012,2010,12,bahrain,2,Driver_2,Team_2,75.575,75.69185653530496,76.17081548800044,0.596,Soft,21.295,28.623,25.657,342.6
R00012,2010,12,bahrain,3,Driver_3,Team_3,76.433,76.89316175484339,77.05060109543847,0.834,Medium,21.455,28.99,25.988,347.0
R00012,2010,12,bahrain,4,Driver_4,Team_4,76.978,77.09084508424785,77.45974803496514,1.492,Soft,21.395,29.227,26.356,321.5
R00012,2010,12,bahrain,5,Driver_5,Team_5,77.354,77.51431098629575,78.00627579273635,2.258,Medium,21.598,29.327,26.429,322.0
R00012,2010,12,bahrain,6,Driver_6,Team_6,77.4,77.7925723399861,78.17604810720769,1.996,Soft,21.705,29.331,26.364,347.4
R00012,2010,12,bahrain,7,Driver_7,Team_7,77.633,78.12154040487735,78.1899615348298,1.587,Medium,21.71,29.555,26.368,331.1
R00012,2010,12,bahrain,8,Driver_8,Team_8,78.093,78.20874784385994,78.96494819592472,2.079,Soft,21.871,29.726,26.496,323.4
R00012,2010,12,bahrain,9,Driver_9,Team_9,78.364,78.48598174401633,78.81967202006379,1.92,Soft,21.815,29.81,26.739,303.0
R00012,2010,12,bahrain,10,Driver_10,Team_10,79.05,79.30088481550162,79.45107101464822,4.214,Soft,22.149,30.174,26.727,341.2
R00013,2010,13,bahrain,1,Esteban Ocon,Alpine,75.828,76.00346777570729,76.2576257340197,0.0,Soft,21.069,28.791,25.968,342.6
R00013,2010,13,bahrain,2,Driver_2,Team_2,76.266,76.45743116104728,76.69329714024524,0.236,Soft,21.339,28.81,26.117,334.8
R00013,2010,13,bahrain,3,Driver_3,Team_3,76.132,76.38816222528769,76.82796151694684,0.255,Medium,21.352,28.953,25.827,308.2
R00013,2010,13,bahrain,4,Driver_4,Team_4,75.847,76.12763257209039,76.50239923217806,0.372,Soft,21.111,28.872,25.864,335.0
R00013,2010,13,bahrain,5,Driver_5,Team_5,77.512,77.8298289881642,78.24516272124295,0.423,Medium,21.762,29.588,26.162,352.9
R00013,2010,13,bahrain,6,Driver_6,Team_6,77.306,77.51762226791082,77.7916904990839,1.912,Medium,21.658,29.42,26.228,329.3
R00013,2010,13,bahrain,7,Driver_7,Team_7,77.604,77.81659874934898,78.45080129031331,2.872,Soft,21.754,29.517,26.333,329.7
R00013,2010,13,bahrain,8,Driver_8,Team_8,78.076,78.41979871620244,78.98543806736497,3.406,Medium,21.769,29.595,26.712,340.6
R00013,2010,13,bahrain,9,Driver_9,Team_9,78.642,78.81393460378588,79.44212656325034,0.723,Medium,22.016,29.699,26.927,318.1
R00013,2010,13,bahrain,10,Driver_10,Team_10,79.083,79.40356416194172,79.98735330215744,1.603,Soft,22.225,29.931,26.927,309.5
R00014,2010,14,singapore,1,Charles Leclerc,Ferrari,75.031,75.16977458394112,75.59345768580086,0.0,Soft,21.082,28.42,25.529,335.7
R00014,2010,14,singapore,2,Driver_2,Team_2,75.739,75.90244019390431,76.39744885410613,0.434,Soft,21.229,28.949,25.561,325.1
R00014,2010,14,singapore,3,Driver_3,Team_3,75.995,76.44216194134125,76.61095534241544,0.786,Medium,21.222,28.973,25.8,301.4
R00014,2010,14,singapore,4,Driver_4,Team_4,76.699,76.85153100688146,77.23824944311389,0.792,Soft,21.245,29.065,26.389,321.2
R00014,2010,14,singapore,5,Driver_5,Team_5,77.367,77.85515380176808,77.8893915929869,2.393,Soft,21.715,29.465,26.187,334.2
R00014,2010,14,singapore,6,Driver_6,Team_6,77.103,77.47846960665808,77.49976222777143,2.875,Soft,21.636,29.303,26.164,316.4
R00014,2010,14,singapore,7,Driver_7,Team_7,78.082,78.57668521084416,78.64125127727252,3.538,Medium,21.823,29.647,26.612,320.4
R00014,2010,14,singapore,8,Driver_8,Team_8,77.775,77.98596710975974,78.39162004641915,1.076,Soft,21.816,29.829,26.13,334.4
R00014,2010,14,singapore,9,Driver_9,Team_9,78.805,78.90538106371524,79.41515933718516,4.492,Soft,22.043,29.966,26.796,318.9
R00014,2010,14,singapore,10,Driver_10,Team_10,78.64,79.09242433723165,79.22266287893679,4.47,Medium,21.938,29.919,26.783,339.8
R00015,2010,15,bahrain,1,Lando Norris,McLaren,75.277,75.6544607624563,76.07440607220022,0.0,Medium,20.932,28.574,25.771,325.4
R00015,2010,15,bahrain,2,Driver_2,Team_2,75.723,76.01349107703446,76.1272324635888,0.397,Medium,21.031,28.761,25.931,350.7
R00015,2010,15,bahrain,3,Driver_3,Team_3,76.168,76.51565821283403,77.1566419862801,0.696,Soft,21.363,28.731,26.074,325.3
R00015,2010,15,bahrain,4,Driver_4,Team_4,76.34,76.47357478537718,76.64546647210601,0.35,Soft,21.259,28.941,26.14,334.6
R00015,2010,15,bahrain,5,Driver_5,Team_5,77.042,77.22160985314856,77.84913168892864,1.674,Medium,21.47,29.366,26.206,335.4
R00015,2010,15,bahrain,6,Driver_6,Team_6,77.09,77.56053742701135,77.56774584954991,0.562,Medium,21.399,29.157,26.534,337.1
R00015,2010,15,bahrain,7,Driver_7,Team_7,78.071,78.29365516356494,79.0585277104256,2.145,Medium,21.747,29.687,26.637,350.4
R00015,2010,15,bahrain,8,Driver_8,Team_8,78.039,78.49090650260827,78.77967641389101,1.624,Medium,21.867,29.618,26.554,321.3
R00015,2010,15,bahrain,9,Driver_9,Team_9,78.347,78.51817474642152,79.08956983650444,1.799,Soft,21.996,29.649,26.702,308.7
R00015,2010,15,bahrain,10,Driver_10,Team_10,79.567,79.93267749047531,80.23243189395339,2.177,Medium,22.147,30.026,27.394,315.4
R00016,2010,16,bahrain,1,Lando Norris,McLaren,74.816,75.15670128996148,75.61702776391792,0.0,Soft,20.881,28.339,25.596,328.1
R00016,2010,16,bahrain,2,Driver_2,Team_2,75.677,76.13294343634357,76.23979529473952,0.128,Soft,21.096,28.56,26.021,335.4
R00016,2010,16,bahrain,3,Driver_3,Team_3,75.763,76.17012726985402,76.30795409474031,1.03,Medium,21.068,28.71,25.985,323.9
R00016,2010,16,bahrain,4,Driver_4,Team_4,76.505,76.92548441770558,77.49627479607577,0.549,Medium,21.502,29.213,25.79,345.2
R00016,2010,16,bahrain,5,Driver_5,Team_5,77.501,77.82243819424673,78.37109264939089,1.315,Soft,21.792,29.56,26.149,310.8
R00016,2010,16,bahrain,6,Driver_6,Team_6,77.929,78.30985447775667,78.89329284573785,2.849,Medium,21.748,29.495,26.686,345.1
R00016,2010,16,bahrain,7,Driver_7,Team_7,78.194,78.42547761600605,79.02963022516423,1.394,Soft,21.832,29.728,26.634,305.3
R00016,2010,16,bahrain,8,Driver_8,Team_8,78.444,78.93914355769822,79.25411988423915,1.236,Soft,22.062,29.929,26.453,336.0
R00016,2010,16,bahrain,9,Driver_9,Team_9,78.592,79.00247240525648,79.09440039335101,2.928,Medium,21.945,29.937,26.71,315.8
R00016,2010,16,bahrain,10,Driver_10,Team_10,78.741,79.04677996889863,79.46380709073469,1.654,Medium,22.118,29.952,26.671,336.2
R00017,2010,17,brazil,1,Max Verstappen,Red Bull Racing,75.515,75.66449972637768,76.43276678043566,0.0,Medium,21.372,28.72,25.423,339.8
R00017,2010,17,brazil,2,Driver_2,Team_2,75.743,76.13765652401925,76.44081518432449,0.093,Medium,21.208,28.803,25.732,300.4
R00017,2010,17,brazil,3,Driver_3,Team_3,76.186,76.40760540741233,77.0921792077407,1.139,Medium,21.34,29.009,25.837,320.7
R00017,2010,17,brazil,4,Driver_4,Team_4,76.198,76.39985468348544,76.59576812147053,0.331,Soft,21.372,28.855,25.971,323.3
R00017,2010,17,brazil,5,Driver_5,Team_5,76.931,77.12481190325747,77.28565625817724,1.174,Medium,21.515,29.238,26.178,336.9
R00017,2010,17,brazil,6,Driver_6,Team_6,77.624,78.00707303509668,78.50057286672681,0.532,Soft,21.817,29.574,26.233,329.8
R00017,2010,17,brazil,7,Driver_7,Team_7,77.804,77.94818526154822,78.2827284914355,2.302,Soft,21.994,29.419,26.391,335.1
R00017,2010,17,brazil,8,Driver_8,Team_8,78.647,79.14542236291561,79.52280530983549,4.111,Soft,22.121,29.865,26.661,340.9
R00017,2010,17,brazil,9,Driver_9,Team_9,78.544,79.01544723809124,79.51608475792571,1.844,Soft,22.014,29.992,26.538,313.5
R00017,2010,17,brazil,10,Driver_10,Team_10,79.162,79.416289595998,79.97175985841699,4.054,Soft,22.24,30.017,26.905,336.2
R00018,2010,18,abu_dhabi,1,Lando Norris,McLaren,75.29,75.64505003448673,76.1741243066763,0.0,Soft,21.104,28.519,25.667,323.7
R00018,2010,18,abu_dhabi,2,Driver_2,Team_2,75.594,75.85535831024437,76.08007188621781,0.421,Medium,21.181,28.638,25.775,305.5
R00018,2010,18,abu_dhabi,3,Driver_3,Team_3,76.093,76.43619704237106,77.00177853041,0.289,Soft,21.282,28.895,25.916,325.1
R00018,2010,18,abu_dhabi,4,Driver_4,Team_4,76.743,77.22725497726084,77.57901779763958,0.312,Medium,21.417,29.247,26.079,340.2
R00018,2010,18,abu_dhabi,5,Driver_5,Team_5,76.538,76.95024298264262,77.2613795692996,1.594,Medium,21.345,29.006,26.187,340.8
R00018,2010,18,abu_dhabi,6,Driver_6,Team_6,77.124,77.62312147576178,77.47790629542945,1.47,Soft,21.659,29.326,26.139,317.6
R00018,2010,18,abu_dhabi,7,Driver_7,Team_7,77.702,77.95823656829884,78.19637407153775,0.833,Medium,21.936,29.49,26.276,326.2
R00018,2010,18,abu_dhabi,8,Driver_8,Team_8,77.947,78.25265037493732,78.59735572400248,2.327,Medium,21.763,29.541,26.643,299.1
R00018,2010,18,abu_dhabi,9,Driver_9,Team_9,78.896,79.07479912351916,79.82533799732221,3.421,Medium,22.234,30.018,26.644,318.5
R00018,2010,18,abu_dhabi,10,Driver_10,Team_10,79.0,79.46139997869226,79.73338042607577,2.625,Soft,22.167,30.12,26.713,325.7
R00019,2011,1,bahrain,1,Max Verstappen,Red Bull Racing,74.947,75.06044169084012,75.72222708380076,0.0,Soft,20.929,28.557,25.461,325.7
R00019,2011,1,bahrain,2,Driver_2,Team_2,75.577,76.07682243972708,76.00349802883107,0.359,Soft,21.295,28.461,25.821,335.3
R00019,2011,1,bahrain,3,Driver_3,Team_3,76.204,76.40705338655044,76.67445988105172,0.993,Soft,21.37,28.84,25.994,343.7
R00019,2011,1,bahrain,4,Driver_4,Team_4,76.996,77.48486707175827,77.68206941649161,0.855,Medium,21.611,29.311,26.074,331.9
R00019,2011,1,bahrain,5,Driver_5,Team_5,77.618,77.89830538215831,77.92377456348996,0.519,Soft,21.591,29.598,26.429,345.4
R00019,2011,1,bahrain,6,Driver_6,Team_6,77.64,78.01632993654727,78.30781239764633,0.581,Medium,21.535,29.368,26.737,298.9
R00019,2011,1,bahrain,7,Driver_7,Team_7,77.94,78.21922547893595,78.48366392596336,2.162,Medium,21.65,29.541,26.749,345.3
R00019,2011,1,bahrain,8,Driver_8,Team_8,78.128,78.52655786125842,79.06122186555875,2.888,Soft,21.983,29.762,26.383,330.9
R00019,2011,1,bahrain,9,Driver_9,Team_9,78.892,79.3623363584818,79.33399399590753,1.48,Medium,21.969,29.948,26.975,332.3
R00019,2011,1,bahrain,10,Driver_10,Team_10,78.685,79.04808197697717,79.53543353599045,1.281,Medium,21.958,29.94,26.787,308.5
R00020,2011,2,bahrain,1,Max Verstappen,Red Bull Racing,74.908,75.08672358176825,75.44263417926518,0.0,Soft,21.186,28.564,25.158,320.7
R00020,2011,2,bahrain,2,Driver_2,Team_2,75.189,75.37925241256865,75.55164812043627,0.592,Soft,21.113,28.595,25.481,364.8
R00020,2011,2,bahrain,3,Driver_3,Team_3,76.042,76.3028254560247,76.62730801946586,0.62,Medium,21.401,28.881,25.76,326.5
R00020,2011,2,bahrain,4,Driver_4,Team_4,76.665,76.80643132432516,77.17375966366009,0.795,Soft,21.437,29.228,26.0,326.4
R00020,2011,2,bahrain,5,Driver_5,Team_5,76.934,77.05180412278604,77.74510350460788,0.617,Soft,21.398,29.204,26.332,309.3
R00020,2011,2,bahrain,6,Driver_6,Team_6,77.793,78.21202991127345,78.43787942440063,2.739,Soft,21.637,29.481,26.675,355.5
R00020,2011,2,bahrain,7,Driver_7,Team_7,78.393,78.77784385877963,78.78482358978995,1.12,Medium,21.905,29.767,26.721,331.2
R00020,2011,2,bahrain,8,Driver_8,Team_8,78.583,78.78802425598053,79.12376924883469,3.963,Soft,21.998,29.813,26.772,311.7
R00020,2011,2,bahrain,9,Driver_9,Team_9,78.661,78.76715028003689,79.48668629331848,4.683,Soft,21.995,30.022,26.644,340.3
R00020,2011,2,bahrain,10,Driver_10,Team_10,79.277,79.49569453059489,80.00736382857293,4.416,Medium,21.974,30.237,27.066,328.4
R00021,2011,3,bahrain,1,Max Verstappen,Red Bull Racing,75.076,75.1780819317902,76.03291003181205,0.0,Soft,21.137,28.514,25.425,299.8
R00021,2011,3,bahrain,2,Driver_2,Team_2,75.589,76.0147014448242,76.3243639148853,0.526,Medium,21.23,28.801,25.558,335.2
R00021,2011,3,bahrain,3,Driver_3,Team_3,76.437,76.58503238229345,77.39203453695006,0.881,Soft,21.21,29.152,26.075,334.6
R00021,2011,3,bahrain,4,Driver_4,Team_4,76.547,76.87936145293443,77.0977440299698,1.525,Soft,21.519,29.045,25.983,322.3
R00021,2011,3,bahrain,5,Driver_5,Team_5,76.46,76.81181844025772,77.25304670263229,2.211,Soft,21.542,28.971,25.947,314.4
R00021,2011,3,bahrain,6,Driver_6,Team_6,77.283,77.72141833315004,77.69192698185752,2.013,Soft,21.658,29.381,26.244,328.2
R00021,2011,3,bahrain,7,Driver_7,Team_7,77.962,78.35149324438123,78.95757910016306,1.566,Soft,21.756,29.556,26.65,328.7
R00021,2011,3,bahrain,8,Driver_8,Team_8,78.35,78.61992490591525,78.7012384975268,3.955,Soft,21.989,29.75,26.611,304.7
R00021,2011,3,bahrain,9,Driver_9,Team_9,78.509,78.95139177297453,79.31028560706787,0.79,Medium,21.898,29.805,26.806,360.3
R00021,2011,3,bahrain,10,Driver_10,Team_10,78.538,79.02025807789181,79.44551788245798,2.019,Soft,22.014,29.802,26.722,336.9
R00022,2011,4,bahrain,1,Max Verstappen,Red Bull Racing,75.033,75.22249834891761,75.79181337282446,0.0,Medium,21.012,28.276,25.745,337.9
R00022,2011,4,bahrain,2,Driver_2,Team_2,76.06,76.53778733677308,76.62780469224481,0.443,Soft,21.421,28.837,25.802,314.5
R00022,2011,4,bahrain,3,Driver_3,Team_3,75.986,76.48498166120234,76.77898044449073,0.49,Soft,21.481,28.731,25.774,292.9
